desc,valor,metraje,url,metraje_2,lat,lng
3 Dormitorios en Villa Española,145000,,https://www.gallito.com.uy/casa-venta-villa-española-montevideo-imasuy-rc-inmuebles-27175168,146.0,-34.86908,-56.14286
2 Dormitorios en La Blanqueada,145000,48.0,https://www.gallito.com.uy/baldovino-venta-casa-la-blanqueada-catala-y-chiavari-inmuebles-26724754,71.0,-34.87585,-56.16001
3 Dormitorios en Colon,145000,,https://www.gallito.com.uy/casa-amplio-jdin-pleno-centro-colon-inmuebles-26463784,135.0,,
3 Dormitorios en Jacinto Vera,147000,80.0,https://www.gallito.com.uy/no-gastos-comunes-gge-80m2-patio-estufa-leña-inmuebles-26836776,80.0,,
3 Dormitorios en Goes,148000,99.0,https://www.gallito.com.uy/casa-alquilada-en-padron-unico-a-1-de-gral-flores-inmuebles-22717476,99.0,-34.88129,-56.1802
4 Dormitorios en Colon,148000,120.0,https://www.gallito.com.uy/casa-y-apto-al-frente-ambos-con-cocheras-y-muy-bien-ubicados-inmuebles-27033172,300.0,-34.90721,-56.19027
3 Dormitorios en Perez Castellanos,149000,105.0,https://www.gallito.com.uy/dueño-vende-espectacular-casa-zona-antel-arenas-acepto-banco-inmuebles-27296982,190.0,-34.85995,-56.15686
3 Dormitorios en Parque Batlle,149000,95.0,https://www.gallito.com.uy/casa-en-venta-3-dorm-parque-batlle-inmuebles-23665936,95.0,-34.89345,-56.14762
3 Dormitorios en Goes,149000,92.0,https://www.gallito.com.uy/venta-casa-de-3-dormitorios-y-2-baños-con-parrillero-goes-inmuebles-27331878,114.0,-34.87781,-56.17539
4 Dormitorios en Union,150000,130.0,https://www.gallito.com.uy/excelente-oportunidad-inmuebles-27352075,205.0,-34.87654,-56.14279
2 Dormitorios en Sayago,150000,97.0,https://www.gallito.com.uy/hermosa-casa-en-sayago-cochera-jardin-y-gran-fondo-inmuebles-27489443,185.0,-34.83126,-56.21127
