desc,valor,metraje
2 Dormitorios en La Teja,U$S 70.000,46
2 Dormitorios en Lezica,U$S 70.000,62
2 Dormitorios en Lezica,U$S 70.000,
2 Dormitorios en Jacinto Vera,U$S 70.000,40
2 Dormitorios en Lezica,U$S 70.000,
2 Dormitorios en Colon,U$S 70.000,
3 Dormitorios en La Teja,U$S 70.000,
3 Dormitorios en Maroñas,U$S 70.000,67
2 Dormitorios en Peñarol,U$S 70.000,70
3 Dormitorios en Punta Rieles,U$S 70.000,85
2 Dormitorios en Maroñas Curva,U$S 70.000,56
2 Dormitorios en Union,U$S 70.000,75
2 Dormitorios en Cerro,U$S 70.000,
2 Dormitorios en Otro,U$S 70.000,70
3 Dormitorios en Cno. Maldonado,U$S 70.000,120
2 Dormitorios en Punta Rieles,U$S 70.000,75
3 Dormitorios en Cerrito,U$S 70.000,80
2 Dormitorios en Maroñas Curva,U$S 70.000,
2 Dormitorios en Maroñas,U$S 70.000,59
2 Dormitorios en Villa Española,U$S 71.000,70
3 Dormitorios en Cerro,U$S 71.000,80
2 Dormitorios en Union,U$S 71.000,70
3 Dormitorios en Villa Española,U$S 71.000,81
1 Dormitorio en Brazo Oriental,U$S 72.000,44
2 Dormitorios en La Teja,U$S 72.000,
2 Dormitorios en Piedras Blancas,U$S 72.500,70
3 Dormitorios en Union,U$S 73.000,
2 Dormitorios en La Teja,U$S 73.000,
2 Dormitorios en Lezica,U$S 73.000,53
2 Dormitorios en Sayago,U$S 73.000,80
2 Dormitorios en Otro,U$S 73.000,76
2 Dormitorios en Piedras Blancas,U$S 73.000,70
3 Dormitorios en Paso De La Arena,U$S 73.000,60
2 Dormitorios en Nuevo Paris,U$S 73.000,70
2 Dormitorios en Parque Batlle,U$S 73.000,40
2 Dormitorios en Colon,U$S 74.000,85
2 Dormitorios en Aires Puros,U$S 74.000,61
1 Dormitorio en Brazo Oriental,U$S 74.500,50
2 Dormitorios en Aires Puros,U$S 75.000,118
3 Dormitorios en Punta Rieles,U$S 75.000,63
2 Dormitorios en Lezica,U$S 75.000,
2 Dormitorios en Peñarol,U$S 75.000,75
Más de 4 dormitorios en Manga,U$S 75.000,
3 Dormitorios en Cerrito,U$S 75.000,
1 Dormitorio en Belvedere,U$S 75.000,
2 Dormitorios en Belvedere,U$S 75.000,
1 Ambiente en La Blanqueada,U$S 75.000,
3 Dormitorios en Maroñas,U$S 75.000,700
2 Dormitorios en Lezica,U$S 75.000,
3 Dormitorios en Villa Española,U$S 75.000,80
3 Dormitorios en Maroñas Curva,U$S 75.000,70
2 Dormitorios en Paso Molino,U$S 75.000,75
3 Dormitorios en Paso De La Arena,U$S 75.000,130
2 Dormitorios en Aires Puros,U$S 75.000,66
3 Dormitorios en Colon,U$S 75.000,
3 Dormitorios en Colon,U$S 75.000,99
2 Dormitorios en Peñarol,U$S 75.000,53
3 Dormitorios en Sayago,U$S 75.000,396
2 Dormitorios en La Comercial,U$S 75.000,
3 Dormitorios en Colon,U$S 75.000,103
2 Dormitorios en Cerrito,U$S 75.000,
3 Dormitorios en Sayago,U$S 75.000,81
2 Dormitorios en Cerrito,U$S 75.000,60
1 Dormitorio en Capurro,U$S 75.000,
3 Dormitorios en Punta Rieles,U$S 75.000,110
3 Dormitorios en Cno. Maldonado,U$S 75.000,110
2 Dormitorios en Perez Castellanos,U$S 75.000,70
4 Dormitorios en Peñarol,U$S 75.000,
2 Dormitorios en Cerrito,U$S 75.000,60
Más de 4 dormitorios en Colon,U$S 75.000,
2 Dormitorios en Perez Castellanos,U$S 75.000,54
2 Dormitorios en Paso Molino,U$S 75.000,61
2 Dormitorios en La Teja,U$S 75.000,55
3 Dormitorios en Aguada,U$S 75.000,80
2 Dormitorios en Union,U$S 75.000,70
2 Dormitorios en Colon,U$S 75.000,100
2 Dormitorios en Maroñas,U$S 76.000,77
2 Dormitorios en Manga,U$S 76.000,
2 Dormitorios en Piedras Blancas,U$S 77.000,80
2 Dormitorios en Piedras Blancas,U$S 77.000,80
3 Dormitorios en Peñarol,U$S 77.000,113
2 Dormitorios en Belvedere,U$S 78.000,45
2 Dormitorios en Cno. Maldonado,U$S 78.000,123
4 Dormitorios en Ituzaingo,U$S 78.000,
3 Dormitorios en Colon,U$S 78.000,50
3 Dormitorios en Atahualpa,U$S 78.000,86
2 Dormitorios en Aires Puros,U$S 78.000,86
2 Dormitorios en Perez Castellanos,U$S 78.000,50
1 Ambiente en Peñarol,U$S 78.000,120
3 Dormitorios en Carrasco Norte,U$S 78.000,62
2 Dormitorios en Maroñas,U$S 78.000,136
1 Dormitorio en Cerrito,U$S 78.000,50
2 Dormitorios en Brazo Oriental,U$S 78.000,70
2 Dormitorios en La Comercial,U$S 78.000,69
3 Dormitorios en Aires Puros,U$S 78.000,81
4 Dormitorios en Colon,U$S 79.000,80
Más de 4 dormitorios en Peñarol,U$S 79.000,160
2 Dormitorios en Colon,U$S 79.000,60
3 Dormitorios en Union,U$S 79.000,82
2 Dormitorios en Union,U$S 79.000,
3 Dormitorios en Union,U$S 79.000,
3 Dormitorios en Sayago,U$S 79.000,162
2 Dormitorios en Capurro,U$S 79.000,100
1 Dormitorio en Aires Puros,U$S 79.000,41
1 Dormitorio en Peñarol,U$S 79.000,
2 Dormitorios en Las Acacias,U$S 79.000,91
4 Dormitorios en Colon,U$S 79.000,80
3 Dormitorios en La Teja,U$S 79.000,
3 Dormitorios en Union,U$S 79.000,82
2 Dormitorios en Union,U$S 79.000,
3 Dormitorios en Bella Vista,U$S 79.000,77
2 Dormitorios en Ciudad Vieja,U$S 80.000,67
2 Dormitorios en Sayago,U$S 80.000,
2 Dormitorios en Cno. Maldonado,U$S 80.000,180
3 Dormitorios en Paso Molino,U$S 80.000,135
2 Dormitorios en Union,U$S 80.000,273
2 Dormitorios en Aguada,U$S 80.000,55
2 Dormitorios en Aguada,U$S 80.000,50
2 Dormitorios en Cordon,U$S 80.000,50
3 Dormitorios en Aguada,U$S 80.000,77
2 Dormitorios en Aguada,U$S 80.000,55
3 Dormitorios en Cerro,U$S 80.000,
3 Dormitorios en Sayago,U$S 80.000,120
3 Dormitorios en La Teja,U$S 80.000,69
3 Dormitorios en Cno. Maldonado,U$S 80.000,
3 Dormitorios en Paso Molino,U$S 80.000,89
2 Dormitorios en Reducto,U$S 80.000,
2 Dormitorios en Cerrito,U$S 80.000,50
2 Dormitorios en Sayago,U$S 80.000,
2 Dormitorios en Centro,U$S 80.000,50
3 Dormitorios en Brazo Oriental,U$S 80.000,120
2 Dormitorios en Cerrito,U$S 80.000,50
2 Dormitorios en Union,U$S 80.000,55
3 Dormitorios en La Teja,U$S 80.000,65
2 Dormitorios en Maroñas,U$S 80.000,
2 Dormitorios en Maroñas,U$S 80.000,104
2 Dormitorios en Union,U$S 80.000,49
2 Dormitorios en Sayago,U$S 80.000,90
2 Dormitorios en Brazo Oriental,U$S 81.000,56
3 Dormitorios en Union,U$S 81.000,97
3 Dormitorios en Belvedere,U$S 81.000,120
1 Dormitorio en Jacinto Vera,U$S 82.000,53
2 Dormitorios en Union,U$S 82.000,59
2 Dormitorios en Colon,U$S 82.000,72
2 Dormitorios en La Comercial,U$S 82.000,69
3 Dormitorios en Centro,U$S 82.000,180
3 Dormitorios en Union,U$S 82.000,119
2 Dormitorios en Villa Muñoz,U$S 82.000,69
2 Dormitorios en Villa Muñoz,U$S 83.000,69
3 Dormitorios en Cerrito,U$S 83.000,76
3 Dormitorios en Cerrito,U$S 83.000,
1 Dormitorio en La Comercial,U$S 83.000,80
3 Dormitorios en Arroyo Seco,U$S 83.000,72
2 Dormitorios en Goes,U$S 84.000,76
3 Dormitorios en La Comercial,U$S 84.000,60
3 Dormitorios en Cno. Maldonado,U$S 84.000,
3 Dormitorios en Perez Castellanos,U$S 85.000,
3 Dormitorios en Lezica,U$S 85.000,100
2 Dormitorios en Sayago,U$S 85.000,55
2 Dormitorios en Nuevo Paris,U$S 85.000,534
1 Dormitorio en Reducto,U$S 85.000,48
2 Dormitorios en Brazo Oriental,U$S 85.000,70
2 Dormitorios en Buceo,U$S 85.000,
3 Dormitorios en Nuevo Paris,U$S 85.000,156
2 Dormitorios en Las Acacias,U$S 85.000,76
3 Dormitorios en Union,U$S 85.000,
1 Ambiente en Carrasco Norte,U$S 85.000,30
4 Dormitorios en Colon,U$S 85.000,100
2 Dormitorios en Lezica,U$S 85.000,70
