desc,valor,metraje
2 Dormitorios en Buceo,U$S 240.000,105
Más de 4 dormitorios en Prado,U$S 240.000,130
2 Dormitorios en Puerto Buceo,U$S 240.000,70
3 Dormitorios en Brazo Oriental,U$S 240.000,200
2 Dormitorios en Punta Carretas,U$S 240.000,65
4 Dormitorios en Cordon,U$S 240.000,
2 Dormitorios en Punta Carretas,U$S 240.000,86
Más de 4 dormitorios en La Blanqueada,U$S 240.000,
2 Dormitorios en Pocitos,U$S 240.000,115
4 Dormitorios en Parque Batlle,U$S 240.000,
3 Dormitorios en Jacinto Vera,U$S 240.000,120
3 Dormitorios en Parque Batlle,U$S 240.000,130
3 Dormitorios en Union,U$S 240.000,75
2 Dormitorios en La Blanqueada,U$S 245.000,
4 Dormitorios en Prado,U$S 245.000,213
3 Dormitorios en Carrasco,U$S 245.000,117
3 Dormitorios en La Blanqueada,U$S 245.000,109
4 Dormitorios en Tres Cruces,U$S 245.000,200
3 Dormitorios en Prado,U$S 245.000,70
3 Dormitorios en Nuevo Paris,U$S 245.000,240
Más de 4 dormitorios en Sayago,U$S 245.000,182
3 Dormitorios en Buceo,U$S 245.000,220
3 Dormitorios en Buceo,U$S 245.000,220
3 Dormitorios en Parque Batlle,U$S 245.000,110
3 Dormitorios en Cordon,U$S 245.000,100
3 Dormitorios en Carrasco,U$S 245.000,97
3 Dormitorios en Pocitos,U$S 245.000,136
3 Dormitorios en Buceo,U$S 245.000,135
3 Dormitorios en Buceo,U$S 245.000,
3 Dormitorios en Parque Batlle,U$S 245.000,220
3 Dormitorios en Carrasco Norte,U$S 245.000,117
2 Dormitorios en Pocitos,U$S 245.000,
3 Dormitorios en Malvin,U$S 245.000,160
3 Dormitorios en Punta Carretas,U$S 245.000,75
3 Dormitorios en La Blanqueada,U$S 245.000,135
4 Dormitorios en Malvin,U$S 245.000,110
4 Dormitorios en La Comercial,U$S 245.000,200
3 Dormitorios en Brazo Oriental,U$S 245.000,110
4 Dormitorios en Prado,U$S 245.000,122
4 Dormitorios en Parque Rodo,U$S 245.000,148
3 Dormitorios en Prado,U$S 245.000,250
3 Dormitorios en Buceo,U$S 245.000,108
3 Dormitorios en Otro,U$S 245.000,136
3 Dormitorios en Punta Gorda,U$S 245.000,80
3 Dormitorios en Pocitos,U$S 245.000,230
3 Dormitorios en Buceo,U$S 245.000,180
3 Dormitorios en Pocitos,U$S 245.000,87
4 Dormitorios en Tres Cruces,U$S 245.000,200
3 Dormitorios en Buceo,U$S 245.000,90
3 Dormitorios en Tres Cruces,U$S 245.000,150
3 Dormitorios en Buceo,U$S 245.000,200
3 Dormitorios en Parque Batlle,U$S 246.000,160
2 Dormitorios en Prado,U$S 247.000,95
3 Dormitorios en La Blanqueada,U$S 248.000,125
3 Dormitorios en Cordon,U$S 248.000,152
Más de 4 dormitorios en Palermo,U$S 248.000,
4 Dormitorios en Ciudad Vieja,U$S 248.000,160
Más de 4 dormitorios en Reducto,U$S 249.000,204
2 Dormitorios en Carrasco,U$S 249.000,160
2 Dormitorios en La Blanqueada,U$S 249.000,80
2 Dormitorios en Sayago,U$S 249.000,
3 Dormitorios en Malvin,U$S 249.000,230
Más de 4 dormitorios en Carrasco Norte,U$S 249.000,120
3 Dormitorios en Cordon,U$S 250.000,260
3 Dormitorios en Villa Española,U$S 250.000,
2 Dormitorios en Aguada,U$S 250.000,110
1 Ambiente en Carrasco Norte,U$S 250.000,130
3 Dormitorios en Parque Batlle,U$S 250.000,120
Más de 4 dormitorios en Cordon,U$S 250.000,234
2 Dormitorios en Cordon,U$S 250.000,220
3 Dormitorios en Parque Batlle,U$S 250.000,194
3 Dormitorios en Atahualpa,U$S 250.000,138
2 Dormitorios en Pocitos,U$S 250.000,110
2 Dormitorios en Buceo,U$S 250.000,120
3 Dormitorios en Cordon,U$S 250.000,128
2 Dormitorios en La Blanqueada,U$S 250.000,160
4 Dormitorios en Ciudad Vieja,U$S 250.000,246
3 Dormitorios en Cordon,U$S 250.000,128
3 Dormitorios en Malvin,U$S 250.000,150
3 Dormitorios en Pocitos,U$S 250.000,190
1 Ambiente en Ciudad Vieja,U$S 250.000,
Más de 4 dormitorios en Centro,U$S 250.000,200
4 Dormitorios en Maroñas,U$S 250.000,150
2 Dormitorios en Buceo,U$S 250.000,120
3 Dormitorios en La Blanqueada,U$S 250.000,94
Más de 4 dormitorios en Tres Cruces,U$S 250.000,242
2 Dormitorios en Parque Batlle,U$S 250.000,120
3 Dormitorios en Prado,U$S 250.000,163
3 Dormitorios en Capurro,U$S 250.000,400
4 Dormitorios en Prado,U$S 250.000,240
4 Dormitorios en Parque Rodo,U$S 250.000,197
2 Dormitorios en Buceo,U$S 250.000,70
4 Dormitorios en Prado,U$S 250.000,130
2 Dormitorios en Parque Batlle,U$S 250.000,100
3 Dormitorios en Prado,U$S 250.000,180
3 Dormitorios en Carrasco,U$S 250.000,130
Más de 4 dormitorios en Buceo,U$S 250.000,138
3 Dormitorios en Prado,U$S 250.000,400
4 Dormitorios en Pocitos,U$S 250.000,120
Más de 4 dormitorios en Ciudad Vieja,U$S 250.000,400
3 Dormitorios en Colon,U$S 250.000,500
Más de 4 dormitorios en Brazo Oriental,U$S 250.000,252
3 Dormitorios en Prado,U$S 250.000,400
3 Dormitorios en La Teja,U$S 250.000,400
Más de 4 dormitorios en Centro,U$S 250.000,194
Más de 4 dormitorios en Paso De La Arena,U$S 250.000,220
2 Dormitorios en Villa Dolores,U$S 250.000,120
2 Dormitorios en Brazo Oriental,U$S 250.000,329
3 Dormitorios en Parque Batlle,U$S 250.000,148
Más de 4 dormitorios en Ciudad Vieja,U$S 250.000,658
Más de 4 dormitorios en Cordon,U$S 250.000,208
3 Dormitorios en Prado,U$S 250.000,180
4 Dormitorios en Atahualpa,U$S 250.000,272
3 Dormitorios en Colon,U$S 250.000,100
3 Dormitorios en Atahualpa,U$S 250.000,100
Más de 4 dormitorios en Aires Puros,U$S 250.000,218
2 Dormitorios en La Blanqueada,U$S 250.000,118
Más de 4 dormitorios en Bella Vista,U$S 250.000,228
Más de 4 dormitorios en Palermo,U$S 250.000,240
1 Ambiente en Buceo,U$S 250.000,120
Más de 4 dormitorios en Sayago,U$S 250.000,144
Más de 4 dormitorios en Centro,U$S 250.000,
Más de 4 dormitorios en Pocitos,U$S 250.000,183
3 Dormitorios en La Blanqueada,U$S 250.000,130
3 Dormitorios en Bella Vista,U$S 250.000,400
2 Dormitorios en Malvin,U$S 250.000,140
3 Dormitorios en Cordon,U$S 250.000,210
3 Dormitorios en Parque Batlle,U$S 250.000,
4 Dormitorios en La Comercial,U$S 250.000,179
3 Dormitorios en La Blanqueada,U$S 250.000,120
4 Dormitorios en Colon,U$S 250.000,173
Más de 4 dormitorios en Tres Cruces,U$S 250.000,297
Más de 4 dormitorios en Centro,U$S 250.000,200
Más de 4 dormitorios en Carrasco,U$S 250.000,138
Más de 4 dormitorios en Centro,U$S 250.000,
3 Dormitorios en Otro,U$S 250.000,400
3 Dormitorios en Malvin,U$S 250.000,155
1 Ambiente en Malvin Norte,U$S 250.000,
4 Dormitorios en Buceo,U$S 250.000,200
3 Dormitorios en Colon,U$S 250.000,200
Más de 4 dormitorios en Punta Gorda,U$S 250.000,138
4 Dormitorios en Pocitos,U$S 250.000,183
Más de 4 dormitorios en Cordon,U$S 250.000,232
2 Dormitorios en Union,U$S 250.000,125
4 Dormitorios en Sayago,U$S 250.000,227
4 Dormitorios en Sayago,U$S 250.000,
3 Dormitorios en Cordon,U$S 250.000,126
3 Dormitorios en Cordon,U$S 250.000,210
4 Dormitorios en Pocitos,U$S 250.000,112
Más de 4 dormitorios en Malvin,U$S 250.000,138
4 Dormitorios en Palermo,U$S 250.000,162
3 Dormitorios en Brazo Oriental,U$S 250.000,80
3 Dormitorios en Pocitos,U$S 250.000,121
3 Dormitorios en Prado,U$S 250.000,160
4 Dormitorios en Belvedere,U$S 250.000,488
3 Dormitorios en Paso Molino,U$S 250.000,400
3 Dormitorios en Malvin,U$S 250.000,200
3 Dormitorios en Cordon,U$S 250.000,126
3 Dormitorios en Reducto,U$S 250.000,400
3 Dormitorios en Parque Batlle,U$S 250.000,180
2 Dormitorios en Malvin Norte,U$S 250.000,301
1 Ambiente en Parque Batlle,U$S 250.000,120
2 Dormitorios en Goes,U$S 250.000,110
Más de 4 dormitorios en Cordon,U$S 250.000,130
3 Dormitorios en La Blanqueada,U$S 250.000,105
4 Dormitorios en Parque Batlle,U$S 250.000,213
Más de 4 dormitorios en Cordon,U$S 252.000,
Más de 4 dormitorios en Centro,U$S 254.000,142
2 Dormitorios en Malvin,U$S 255.000,126
3 Dormitorios en Pocitos Nuevo,U$S 255.000,97
2 Dormitorios en La Blanqueada,U$S 255.000,115
2 Dormitorios en Pocitos,U$S 255.000,81
4 Dormitorios en Jacinto Vera,U$S 255.000,95
Más de 4 dormitorios en Jacinto Vera,U$S 255.000,200
4 Dormitorios en Parque Rodo,U$S 255.000,147
3 Dormitorios en Buceo,U$S 255.000,143
3 Dormitorios en La Blanqueada,U$S 255.000,100
Más de 4 dormitorios en La Figurita,U$S 255.000,315
4 Dormitorios en Pocitos,U$S 255.000,170
4 Dormitorios en Jacinto Vera,U$S 255.000,94
3 Dormitorios en Atahualpa,U$S 255.000,104
1 Ambiente en Ciudad Vieja,U$S 255.000,550
3 Dormitorios en La Blanqueada,U$S 255.000,120
2 Dormitorios en La Blanqueada,U$S 255.000,100
2 Dormitorios en Punta Carretas,U$S 255.000,
3 Dormitorios en Parque Miramar,U$S 255.000,99
Más de 4 dormitorios en Cerro,U$S 255.000,574
4 Dormitorios en Parque Rodo,U$S 255.000,177
4 Dormitorios en Parque Rodo,U$S 255.000,167
2 Dormitorios en Punta Gorda,U$S 255.000,93
3 Dormitorios en Jacinto Vera,U$S 255.000,115
3 Dormitorios en Atahualpa,U$S 255.000,116
4 Dormitorios en Malvin,U$S 255.000,160
4 Dormitorios en Pocitos,U$S 258.000,164
3 Dormitorios en Pocitos,U$S 258.000,
3 Dormitorios en Parque Batlle,U$S 258.000,150
3 Dormitorios en Villa Dolores,U$S 258.000,139
3 Dormitorios en Parque Batlle,U$S 258.000,145
4 Dormitorios en Pocitos Nuevo,U$S 258.000,145
3 Dormitorios en Buceo,U$S 258.000,150
3 Dormitorios en Parque Batlle,U$S 258.000,139
2 Dormitorios en Parque Batlle,U$S 259.000,120
3 Dormitorios en Buceo,U$S 259.000,150
3 Dormitorios en Carrasco,U$S 259.000,113
3 Dormitorios en Buceo,U$S 259.000,144
3 Dormitorios en Buceo,U$S 259.000,145
3 Dormitorios en Malvin,U$S 259.000,90
3 Dormitorios en Brazo Oriental,U$S 259.000,233
2 Dormitorios en Parque Batlle,U$S 259.000,120
3 Dormitorios en Buceo,U$S 259.000,145
3 Dormitorios en Buceo,U$S 259.000,144
2 Dormitorios en Parque Batlle,U$S 259.000,120
3 Dormitorios en Tres Cruces,U$S 260.000,156
Más de 4 dormitorios en Carrasco,U$S 260.000,130
4 Dormitorios en Atahualpa,U$S 260.000,270
3 Dormitorios en Buceo,U$S 260.000,210
3 Dormitorios en Parque Batlle,U$S 260.000,200
3 Dormitorios en Pocitos,U$S 260.000,99
2 Dormitorios en Villa Dolores,U$S 260.000,
Más de 4 dormitorios en Malvin Norte,U$S 260.000,
3 Dormitorios en Parque Batlle,U$S 260.000,152
3 Dormitorios en Malvin,U$S 260.000,
4 Dormitorios en Colon,U$S 260.000,
3 Dormitorios en Buceo,U$S 260.000,210
1 Ambiente en Centro,U$S 260.000,258
2 Dormitorios en Punta Gorda,U$S 260.000,146
3 Dormitorios en Parque Batlle,U$S 260.000,152
3 Dormitorios en Punta Gorda,U$S 260.000,135
3 Dormitorios en Pocitos Nuevo,U$S 260.000,92
3 Dormitorios en Palermo,U$S 260.000,174
2 Dormitorios en Brazo Oriental,U$S 260.000,329
Más de 4 dormitorios en Maroñas,U$S 260.000,204
3 Dormitorios en Cordon,U$S 260.000,126
3 Dormitorios en Parque Batlle,U$S 260.000,152
2 Dormitorios en Malvin,U$S 260.000,120
3 Dormitorios en Tres Cruces,U$S 260.000,225
Más de 4 dormitorios en Pocitos,U$S 260.000,153
Más de 4 dormitorios en Centro,U$S 260.000,200
1 Ambiente en Cordon,U$S 260.000,133
2 Dormitorios en Malvin,U$S 260.000,126
3 Dormitorios en Malvin,U$S 260.000,102
2 Dormitorios en Malvin,U$S 260.000,126
3 Dormitorios en Punta Carretas,U$S 260.000,99
Más de 4 dormitorios en Aguada,U$S 260.000,480
3 Dormitorios en Buceo,U$S 260.000,219
2 Dormitorios en Malvin,U$S 260.000,151
Más de 4 dormitorios en Pocitos,U$S 260.000,119
Más de 4 dormitorios en Tres Cruces,U$S 260.000,230
3 Dormitorios en Malvin Norte,U$S 260.000,253
Más de 4 dormitorios en Tres Cruces,U$S 260.000,290
Más de 4 dormitorios en La Blanqueada,U$S 260.000,175
2 Dormitorios en Malvin,U$S 260.000,120
3 Dormitorios en Pocitos,U$S 260.000,57
3 Dormitorios en Paso Molino,U$S 260.000,278
Más de 4 dormitorios en Cerrito,U$S 260.000,222
2 Dormitorios en Buceo,U$S 260.000,146
3 Dormitorios en La Blanqueada,U$S 260.000,152
2 Dormitorios en Malvin,U$S 260.000,126
3 Dormitorios en Pocitos,U$S 260.000,89
3 Dormitorios en Parque Batlle,U$S 260.000,145
Más de 4 dormitorios en Tres Cruces,U$S 260.000,225
3 Dormitorios en Parque Batlle,U$S 260.000,152
4 Dormitorios en Nuevo Centro,U$S 260.000,153
3 Dormitorios en Malvin,U$S 260.000,126
3 Dormitorios en Prado,U$S 260.000,233
3 Dormitorios en Puerto Buceo,U$S 260.000,219
2 Dormitorios en Malvin,U$S 260.000,146
2 Dormitorios en Malvin,U$S 260.000,126
4 Dormitorios en Union,U$S 260.000,272
3 Dormitorios en Colon,U$S 260.000,221
3 Dormitorios en Buceo,U$S 263.000,123
3 Dormitorios en Palermo,U$S 264.000,137
Más de 4 dormitorios en Tres Cruces,U$S 265.000,199
3 Dormitorios en Malvin,U$S 265.000,162
2 Dormitorios en Carrasco,U$S 265.000,68
4 Dormitorios en Palermo,U$S 265.000,172
3 Dormitorios en Parque Rodo,U$S 265.000,202
3 Dormitorios en La Blanqueada,U$S 265.000,
Más de 4 dormitorios en Palermo,U$S 265.000,248
4 Dormitorios en Parque Batlle,U$S 265.000,250
2 Dormitorios en Parque Batlle,U$S 265.000,84
Más de 4 dormitorios en Parque Rodo,U$S 265.000,220
3 Dormitorios en Union,U$S 265.000,170
2 Dormitorios en Carrasco,U$S 265.000,68
2 Dormitorios en Carrasco,U$S 265.000,80
Más de 4 dormitorios en Tres Cruces,U$S 265.000,199
2 Dormitorios en Buceo,U$S 265.000,108
Más de 4 dormitorios en La Blanqueada,U$S 265.000,
3 Dormitorios en Aguada,U$S 265.000,100
3 Dormitorios en Bella Vista,U$S 265.000,184
2 Dormitorios en Carrasco,U$S 265.000,68
3 Dormitorios en Bella Vista,U$S 265.000,184
3 Dormitorios en Pocitos Nuevo,U$S 265.000,115
3 Dormitorios en La Blanqueada,U$S 265.000,185
2 Dormitorios en Carrasco,U$S 265.000,100
3 Dormitorios en Pocitos,U$S 265.000,102
3 Dormitorios en Buceo,U$S 265.000,
3 Dormitorios en Union,U$S 265.000,170
3 Dormitorios en Union,U$S 265.000,107
3 Dormitorios en Prado,U$S 265.000,184
3 Dormitorios en Union,U$S 265.000,163
3 Dormitorios en Prado,U$S 265.000,368
3 Dormitorios en Union,U$S 265.000,195
3 Dormitorios en Cordon,U$S 265.000,220
3 Dormitorios en Pocitos,U$S 265.000,91
4 Dormitorios en Union,U$S 265.000,190
2 Dormitorios en La Blanqueada,U$S 267.000,134
2 Dormitorios en La Blanqueada,U$S 267.000,200
2 Dormitorios en La Blanqueada,U$S 267.000,130
3 Dormitorios en Malvin,U$S 268.000,150
3 Dormitorios en Malvin,U$S 268.000,95
2 Dormitorios en Buceo,U$S 268.000,130
3 Dormitorios en Malvin,U$S 268.000,120
3 Dormitorios en Malvin,U$S 268.000,168
3 Dormitorios en Pocitos,U$S 269.000,132
3 Dormitorios en La Blanqueada,U$S 269.000,
3 Dormitorios en Buceo,U$S 269.000,178
3 Dormitorios en Cordon,U$S 269.000,200
4 Dormitorios en Otro,U$S 269.000,129
3 Dormitorios en Carrasco,U$S 269.000,177
3 Dormitorios en Carrasco Norte,U$S 269.000,177
3 Dormitorios en Malvin,U$S 270.000,130
Más de 4 dormitorios en Palermo,U$S 270.000,322
3 Dormitorios en Buceo,U$S 270.000,160
Más de 4 dormitorios en Prado,U$S 270.000,191
3 Dormitorios en Buceo,U$S 270.000,80
3 Dormitorios en Buceo,U$S 270.000,160
4 Dormitorios en Prado,U$S 270.000,
4 Dormitorios en La Blanqueada,U$S 270.000,
2 Dormitorios en Pocitos Nuevo,U$S 270.000,97
Más de 4 dormitorios en Parque Batlle,U$S 270.000,141
3 Dormitorios en Cordon,U$S 270.000,126
3 Dormitorios en Prado,U$S 270.000,
4 Dormitorios en Parque Batlle,U$S 270.000,160
Más de 4 dormitorios en Brazo Oriental,U$S 270.000,145
3 Dormitorios en Malvin,U$S 270.000,120
4 Dormitorios en Malvin,U$S 270.000,118
3 Dormitorios en Parque Miramar,U$S 270.000,120
3 Dormitorios en Atahualpa,U$S 270.000,170
Más de 4 dormitorios en Aguada,U$S 270.000,783
Más de 4 dormitorios en Atahualpa,U$S 270.000,250
4 Dormitorios en Parque Batlle,U$S 270.000,160
3 Dormitorios en Parque Batlle,U$S 270.000,
4 Dormitorios en Malvin,U$S 270.000,
3 Dormitorios en Malvin,U$S 270.000,100
Más de 4 dormitorios en Prado,U$S 270.000,123
3 Dormitorios en Buceo,U$S 270.000,180
Más de 4 dormitorios en Pocitos,U$S 270.000,
4 Dormitorios en Buceo,U$S 270.000,140
Más de 4 dormitorios en Atahualpa,U$S 270.000,200
4 Dormitorios en Buceo,U$S 270.000,149
3 Dormitorios en Buceo,U$S 270.000,150
3 Dormitorios en Carrasco,U$S 270.000,140
3 Dormitorios en Sayago,U$S 270.000,109
3 Dormitorios en Buceo,U$S 270.000,135
4 Dormitorios en Buceo,U$S 270.000,150
3 Dormitorios en Parque Batlle,U$S 270.000,
3 Dormitorios en La Blanqueada,U$S 270.000,
3 Dormitorios en La Blanqueada,U$S 270.000,125
3 Dormitorios en Carrasco Norte,U$S 270.000,138
Más de 4 dormitorios en Prado,U$S 270.000,200
4 Dormitorios en Buceo,U$S 270.000,160
3 Dormitorios en Parque Batlle,U$S 270.000,160
3 Dormitorios en Buceo,U$S 270.000,98
3 Dormitorios en Malvin Norte,U$S 270.000,1
3 Dormitorios en Cordon,U$S 270.000,126
3 Dormitorios en Buceo,U$S 270.000,150
Más de 4 dormitorios en Atahualpa,U$S 270.000,250
Más de 4 dormitorios en La Blanqueada,U$S 270.000,280
4 Dormitorios en Parque Batlle,U$S 270.000,215
3 Dormitorios en Parque Batlle,U$S 270.000,215
4 Dormitorios en Colon,U$S 270.000,250
3 Dormitorios en Buceo,U$S 270.000,160
3 Dormitorios en Brazo Oriental,U$S 270.000,137
3 Dormitorios en Malvin,U$S 270.000,130
3 Dormitorios en Buceo,U$S 270.000,135
3 Dormitorios en Malvin,U$S 274.000,133
4 Dormitorios en Punta Gorda,U$S 275.000,142
Más de 4 dormitorios en Atahualpa,U$S 275.000,300
4 Dormitorios en Punta Gorda,U$S 275.000,140
3 Dormitorios en La Blanqueada,U$S 275.000,
Más de 4 dormitorios en Punta Gorda,U$S 275.000,142
Más de 4 dormitorios en Parque Batlle,U$S 275.000,193
3 Dormitorios en Carrasco,U$S 275.000,120
2 Dormitorios en La Comercial,U$S 275.000,172
3 Dormitorios en Punta Gorda,U$S 275.000,130
Más de 4 dormitorios en Malvin,U$S 275.000,125
Más de 4 dormitorios en Atahualpa,U$S 275.000,300
4 Dormitorios en Punta Gorda,U$S 275.000,142
4 Dormitorios en Malvin,U$S 275.000,142
3 Dormitorios en Parque Batlle,U$S 275.000,113
3 Dormitorios en Malvin,U$S 275.000,130
2 Dormitorios en La Comercial,U$S 275.000,172
4 Dormitorios en Jacinto Vera,U$S 275.000,95
3 Dormitorios en Parque Rodo,U$S 275.000,142
3 Dormitorios en Union,U$S 275.000,
4 Dormitorios en Parque Batlle,U$S 275.000,153
4 Dormitorios en Jacinto Vera,U$S 275.000,160
Más de 4 dormitorios en Centro,U$S 277.000,241
3 Dormitorios en Atahualpa,U$S 278.000,150
3 Dormitorios en Prado,U$S 278.000,150
3 Dormitorios en Prado,U$S 278.000,150
3 Dormitorios en Prado,U$S 278.000,150
3 Dormitorios en Prado,U$S 278.000,250
3 Dormitorios en Prado,U$S 278.000,150
3 Dormitorios en Capurro,U$S 278.000,150
3 Dormitorios en Prado,U$S 278.000,
3 Dormitorios en Prado,U$S 278.000,144
2 Dormitorios en Parque Rodo,U$S 279.000,73
3 Dormitorios en Punta Carretas,U$S 279.000,81
2 Dormitorios en Punta Carretas,U$S 279.000,73
3 Dormitorios en Punta Gorda,U$S 279.000,115
Más de 4 dormitorios en Buceo,U$S 279.000,200
2 Dormitorios en Otro,U$S 279.000,73
3 Dormitorios en Malvin,U$S 279.000,150
3 Dormitorios en Atahualpa,U$S 279.000,100
2 Dormitorios en Malvin,U$S 279.000,111
3 Dormitorios en Malvin,U$S 280.000,135
3 Dormitorios en B. De Carrasco,U$S 280.000,110
3 Dormitorios en Malvin,U$S 280.000,170
Más de 4 dormitorios en Aguada,U$S 280.000,250
2 Dormitorios en Punta Gorda,U$S 280.000,130
3 Dormitorios en Atahualpa,U$S 280.000,314
4 Dormitorios en Brazo Oriental,U$S 280.000,
Más de 4 dormitorios en Malvin Norte,U$S 280.000,
3 Dormitorios en Pocitos,U$S 280.000,135
Más de 4 dormitorios en Pocitos,U$S 280.000,148
3 Dormitorios en Otro,U$S 280.000,104
4 Dormitorios en Cordon,U$S 280.000,
3 Dormitorios en Tres Cruces,U$S 280.000,200
4 Dormitorios en Parque Batlle,U$S 280.000,160
3 Dormitorios en Villa Dolores,U$S 280.000,136
4 Dormitorios en Atahualpa,U$S 280.000,205
2 Dormitorios en Puerto Buceo,U$S 280.000,75
3 Dormitorios en Manga,U$S 280.000,80
4 Dormitorios en Brazo Oriental,U$S 280.000,190
3 Dormitorios en Centro,U$S 280.000,160
3 Dormitorios en Prado,U$S 280.000,260
3 Dormitorios en Prado,U$S 280.000,120
3 Dormitorios en La Blanqueada,U$S 280.000,140
3 Dormitorios en Malvin,U$S 280.000,120
2 Dormitorios en Jacinto Vera,U$S 280.000,192
4 Dormitorios en Parque Rodo,U$S 280.000,120
3 Dormitorios en Pocitos,U$S 280.000,
3 Dormitorios en Malvin,U$S 280.000,82
1 Ambiente en Centro,U$S 280.000,116
Más de 4 dormitorios en Pocitos,U$S 280.000,151
Más de 4 dormitorios en Parque Rodo,U$S 280.000,170
3 Dormitorios en Belvedere,U$S 280.000,134
3 Dormitorios en Jacinto Vera,U$S 280.000,220
4 Dormitorios en Parque Batlle,U$S 280.000,
2 Dormitorios en Carrasco,U$S 280.000,133
3 Dormitorios en Brazo Oriental,U$S 280.000,154
3 Dormitorios en Pocitos Nuevo,U$S 280.000,
2 Dormitorios en Cordon,U$S 280.000,115
Más de 4 dormitorios en Centro,U$S 280.000,278
4 Dormitorios en Pocitos,U$S 280.000,
2 Dormitorios en Punta Gorda,U$S 280.000,180
4 Dormitorios en Carrasco Norte,U$S 280.000,115
Más de 4 dormitorios en Buceo,U$S 280.000,200
3 Dormitorios en Aires Puros,U$S 285.000,170
3 Dormitorios en Pocitos,U$S 285.000,100
3 Dormitorios en Carrasco Norte,U$S 285.000,115
3 Dormitorios en Parque Batlle,U$S 285.000,112
2 Dormitorios en Buceo,U$S 285.000,
3 Dormitorios en Carrasco,U$S 285.000,85
3 Dormitorios en Parque Batlle,U$S 285.000,110
3 Dormitorios en Otro,U$S 285.000,180
3 Dormitorios en Cordon,U$S 285.000,207
3 Dormitorios en La Blanqueada,U$S 285.000,110
4 Dormitorios en Parque Batlle,U$S 285.000,
2 Dormitorios en Pocitos,U$S 285.000,95
3 Dormitorios en La Blanqueada,U$S 285.000,110
Más de 4 dormitorios en Pocitos Nuevo,U$S 285.000,140
3 Dormitorios en Sayago,U$S 285.000,170
3 Dormitorios en Prado,U$S 285.000,179
2 Dormitorios en Buceo,U$S 285.000,184
3 Dormitorios en Parque Batlle,U$S 285.000,120
4 Dormitorios en Jacinto Vera,U$S 285.000,380
2 Dormitorios en Buceo,U$S 285.000,184
2 Dormitorios en Buceo,U$S 285.000,184
Más de 4 dormitorios en Prado,U$S 285.000,
3 Dormitorios en Atahualpa,U$S 285.000,
3 Dormitorios en Parque Batlle,U$S 285.000,110
3 Dormitorios en Parque Batlle,U$S 285.000,113
3 Dormitorios en Carrasco,U$S 285.000,140
3 Dormitorios en Pocitos,U$S 285.000,100
3 Dormitorios en Carrasco,U$S 287.000,100
3 Dormitorios en Carrasco,U$S 287.000,100
3 Dormitorios en Carrasco,U$S 287.000,200
3 Dormitorios en Buceo,U$S 288.000,85
Más de 4 dormitorios en Malvin Norte,U$S 288.000,179
3 Dormitorios en Buceo,U$S 288.000,115
3 Dormitorios en Buceo,U$S 288.000,279
3 Dormitorios en Buceo,U$S 288.000,116
3 Dormitorios en Malvin,U$S 288.000,
3 Dormitorios en Buceo,U$S 288.000,86
4 Dormitorios en Prado,U$S 288.000,150
3 Dormitorios en Cordon,U$S 289.000,314
3 Dormitorios en Pocitos Nuevo,U$S 290.000,115
2 Dormitorios en Arroyo Seco,U$S 290.000,141
3 Dormitorios en Tres Cruces,U$S 290.000,239
4 Dormitorios en Punta Carretas,U$S 290.000,132
3 Dormitorios en La Blanqueada,U$S 290.000,136
3 Dormitorios en Colon,U$S 290.000,100
4 Dormitorios en Sayago,U$S 290.000,279
Más de 4 dormitorios en Malvin,U$S 290.000,644
3 Dormitorios en Pocitos,U$S 290.000,151
3 Dormitorios en Buceo,U$S 290.000,130
Más de 4 dormitorios en Prado,U$S 290.000,815
3 Dormitorios en Parque Batlle,U$S 290.000,184
3 Dormitorios en Colon,U$S 290.000,140
3 Dormitorios en Colon,U$S 290.000,400
2 Dormitorios en La Blanqueada,U$S 290.000,194
Más de 4 dormitorios en Cordon,U$S 290.000,214
3 Dormitorios en Cordon,U$S 290.000,
4 Dormitorios en La Blanqueada,U$S 290.000,167
3 Dormitorios en Malvin,U$S 290.000,215
3 Dormitorios en Punta Carretas,U$S 290.000,91
3 Dormitorios en Parque Rodo,U$S 290.000,140
3 Dormitorios en Carrasco,U$S 290.000,120
4 Dormitorios en Parque Rodo,U$S 290.000,214
3 Dormitorios en Carrasco Norte,U$S 290.000,90
4 Dormitorios en La Blanqueada,U$S 290.000,167
4 Dormitorios en Prado,U$S 290.000,
3 Dormitorios en La Blanqueada,U$S 290.000,136
3 Dormitorios en La Blanqueada,U$S 290.000,260
3 Dormitorios en La Blanqueada,U$S 290.000,229
4 Dormitorios en Cordon,U$S 290.000,214
3 Dormitorios en Malvin,U$S 290.000,
4 Dormitorios en Carrasco,U$S 290.000,102
4 Dormitorios en Pocitos,U$S 290.000,214
4 Dormitorios en Pocitos,U$S 290.000,111
4 Dormitorios en Prado,U$S 290.000,200
4 Dormitorios en Pocitos,U$S 290.000,214
4 Dormitorios en Parque Rodo,U$S 290.000,196
4 Dormitorios en Pocitos,U$S 290.000,214
3 Dormitorios en Jacinto Vera,U$S 290.000,140
3 Dormitorios en Atahualpa,U$S 290.000,100
4 Dormitorios en Reducto,U$S 290.000,217
2 Dormitorios en Carrasco Norte,U$S 290.000,
3 Dormitorios en Prado,U$S 290.000,125
3 Dormitorios en La Blanqueada,U$S 290.000,160
Más de 4 dormitorios en Aguada,U$S 290.000,300
