desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine,valor_metro
2 Dormitorios en La Teja,55000,90,https://www.gallito.com.uy/js-venta-casa-la-teja-2-dormitorios-cooperativa-inmuebles-19688400,-34.84965,-56.23677,2 Dormitorios,La Teja,La Teja,38.0,611.1111111111111
1 Dormitorio en Cerrito,55000,35,https://www.gallito.com.uy/acm-casa-de-1-dorm-solida-y-noble-construccion-inmuebles-16294073,-34.84458,-56.17025,1 Dormitorio,Cerrito,Cerrito,27.0,1571.4285714285713
2 Dormitorios en Belvedere,55000,103,https://www.gallito.com.uy/casa-padron-unico-inmuebles-17911675,,,2 Dormitorios,Belvedere,Belvedere,54.0,533.9805825242719
2 Dormitorios en Malvin Norte,55000,70,https://www.gallito.com.uy/vendo-casa-2-dorm-baño-cocina-comedor-us-55000-zumfelde-inmuebles-18029066,-34.87088,-56.10688,2 Dormitorios,Malvin Norte,Malvín Norte,12.0,785.7142857142857
2 Dormitorios en J. Hipodromo,55000,80,https://www.gallito.com.uy/hermoso-fondo-privado-casa-buena-construccion-inmuebles-13205702,,,2 Dormitorios,J. Hipodromo,Jardines del Hipódromo,21.0,687.5
2 Dormitorios en Belvedere,55000,100,https://www.gallito.com.uy/casa-padron-unico-inmuebles-17886305,,,2 Dormitorios,Belvedere,Belvedere,54.0,550.0
2 Dormitorios en Lezica,55000,52,https://www.gallito.com.uy/buena-propiedad-en-padron-unico-inmuebles-19173484,,,2 Dormitorios,Lezica,"Lezica, Melilla",60.0,1057.6923076923076
2 Dormitorios en Piedras Blancas,55000,100,https://www.gallito.com.uy/imponente-precio-casa-se-vende-en-piedras-blancas-inmuebles-20086321,-32.87555,-56.02015,2 Dormitorios,Piedras Blancas,Piedras Blancas,31.0,550.0
3 Dormitorios en Sayago,55000,136,https://www.gallito.com.uy/casa-3-dormitorios-alquilada-cgn-y-posibilidad-2-aptos-inmuebles-20007472,-34.84176,-56.21649,3 Dormitorios,Sayago,Sayago,52.0,404.4117647058824
2 Dormitorios en Peñarol,55000,44,https://www.gallito.com.uy/proxima-a-cnel-raiz-con-posibilidad-de-entrada-de-auto-inmuebles-16030514,-34.819,-56.20078,2 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0,1250.0
