desc,valor,metraje,dormitorios,barrio
2 Dormitorios en Malvin,200000,80.0,2 Dormitorios,Malvin
3 Dormitorios en Prado,200000,,3 Dormitorios,Prado
3 Dormitorios en Prado,200000,120.0,3 Dormitorios,Prado
3 Dormitorios en Malvin,200000,100.0,3 Dormitorios,Malvin
2 Dormitorios en Piedras Blancas,200000,350.0,2 Dormitorios,Piedras Blancas
3 Dormitorios en Cordon,200000,121.0,3 Dormitorios,Cordon
Más de 4 dormitorios en Ciudad Vieja,200000,150.0,Más de 4 dormitorios,Ciudad Vieja
3 Dormitorios en Cordon,200000,,3 Dormitorios,Cordon
2 Dormitorios en Pocitos,200000,65.0,2 Dormitorios,Pocitos
3 Dormitorios en Villa Dolores,200000,120.0,3 Dormitorios,Villa Dolores
3 Dormitorios en Parque Batlle,200000,92.0,3 Dormitorios,Parque Batlle
3 Dormitorios en La Comercial,200000,103.0,3 Dormitorios,La Comercial
4 Dormitorios en Cordon,200000,,4 Dormitorios,Cordon
3 Dormitorios en Carrasco Norte,200000,260.0,3 Dormitorios,Carrasco Norte
Más de 4 dormitorios en Jacinto Vera,200000,190.0,Más de 4 dormitorios,Jacinto Vera
4 Dormitorios en Colon,200000,200.0,4 Dormitorios,Colon
3 Dormitorios en Brazo Oriental,200000,92.0,3 Dormitorios,Brazo Oriental
Más de 4 dormitorios en Aguada,200000,,Más de 4 dormitorios,Aguada
Más de 4 dormitorios en Centro,200000,340.0,Más de 4 dormitorios,Centro
4 Dormitorios en Tres Cruces,200000,120.0,4 Dormitorios,Tres Cruces
4 Dormitorios en Cordon,200000,86.0,4 Dormitorios,Cordon
4 Dormitorios en La Comercial,200000,100.0,4 Dormitorios,La Comercial
4 Dormitorios en Palermo,200000,,4 Dormitorios,Palermo
3 Dormitorios en Brazo Oriental,200000,300.0,3 Dormitorios,Brazo Oriental
3 Dormitorios en Buceo,200000,112.0,3 Dormitorios,Buceo
4 Dormitorios en Parque Rodo,200000,85.0,4 Dormitorios,Parque Rodo
4 Dormitorios en Cordon,200000,90.0,4 Dormitorios,Cordon
3 Dormitorios en Parque Batlle,200000,92.0,3 Dormitorios,Parque Batlle
3 Dormitorios en La Blanqueada,200000,92.0,3 Dormitorios,La Blanqueada
4 Dormitorios en Prado,200000,100.0,4 Dormitorios,Prado
3 Dormitorios en Jacinto Vera,200000,100.0,3 Dormitorios,Jacinto Vera
Más de 4 dormitorios en Cordon,200000,120.0,Más de 4 dormitorios,Cordon
3 Dormitorios en Prado,200000,120.0,3 Dormitorios,Prado
3 Dormitorios en Buceo,200000,87.0,3 Dormitorios,Buceo
3 Dormitorios en Colon,205000,103.0,3 Dormitorios,Colon
4 Dormitorios en Palermo,205000,140.0,4 Dormitorios,Palermo
3 Dormitorios en Punta Gorda,205000,80.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Atahualpa,205000,70.0,3 Dormitorios,Atahualpa
2 Dormitorios en Carrasco,205000,82.0,2 Dormitorios,Carrasco
3 Dormitorios en Punta Gorda,205000,80.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Aires Puros,205000,,3 Dormitorios,Aires Puros
3 Dormitorios en Malvin,205000,100.0,3 Dormitorios,Malvin
2 Dormitorios en Tres Cruces,205000,80.0,2 Dormitorios,Tres Cruces
4 Dormitorios en Cordon,205000,86.0,4 Dormitorios,Cordon
3 Dormitorios en Prado Norte,205000,80.0,3 Dormitorios,Prado Norte
3 Dormitorios en Atahualpa,205000,230.0,3 Dormitorios,Atahualpa
3 Dormitorios en Atahualpa,205000,130.0,3 Dormitorios,Atahualpa
3 Dormitorios en Malvin,205000,,3 Dormitorios,Malvin
3 Dormitorios en La Blanqueada,205000,130.0,3 Dormitorios,La Blanqueada
3 Dormitorios en La Blanqueada,205000,99.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Malvin,205000,122.0,3 Dormitorios,Malvin
4 Dormitorios en Las Acacias,205000,280.0,4 Dormitorios,Las Acacias
3 Dormitorios en Prado,205000,80.0,3 Dormitorios,Prado
3 Dormitorios en Brazo Oriental,205000,141.0,3 Dormitorios,Brazo Oriental
3 Dormitorios en Malvin,205000,100.0,3 Dormitorios,Malvin
3 Dormitorios en Prado,205000,140.0,3 Dormitorios,Prado
4 Dormitorios en Prado,205000,140.0,4 Dormitorios,Prado
4 Dormitorios en Prado Norte,205000,167.0,4 Dormitorios,Prado Norte
2 Dormitorios en La Blanqueada,205000,110.0,2 Dormitorios,La Blanqueada
2 Dormitorios en Buceo,206000,,2 Dormitorios,Buceo
2 Dormitorios en Malvin,206000,70.0,2 Dormitorios,Malvin
2 Dormitorios en Malvin,206000,80.0,2 Dormitorios,Malvin
2 Dormitorios en Centro,206000,91.0,2 Dormitorios,Centro
4 Dormitorios en Atahualpa,207000,,4 Dormitorios,Atahualpa
3 Dormitorios en Colon,207000,97.0,3 Dormitorios,Colon
Más de 4 dormitorios en Prado,207000,145.0,Más de 4 dormitorios,Prado
2 Dormitorios en Aguada,208000,157.0,2 Dormitorios,Aguada
3 Dormitorios en Buceo,208000,85.0,3 Dormitorios,Buceo
4 Dormitorios en Prado,209000,150.0,4 Dormitorios,Prado
3 Dormitorios en Union,209000,140.0,3 Dormitorios,Union
2 Dormitorios en Jacinto Vera,210000,96.0,2 Dormitorios,Jacinto Vera
2 Dormitorios en Villa Española,210000,159.0,2 Dormitorios,Villa Española
3 Dormitorios en Atahualpa,210000,154.0,3 Dormitorios,Atahualpa
2 Dormitorios en Pocitos,210000,73.0,2 Dormitorios,Pocitos
3 Dormitorios en Carrasco Norte,210000,80.0,3 Dormitorios,Carrasco Norte
3 Dormitorios en Pocitos,210000,,3 Dormitorios,Pocitos
3 Dormitorios en Sayago,210000,119.0,3 Dormitorios,Sayago
Más de 4 dormitorios en Manga,210000,,Más de 4 dormitorios,Manga
3 Dormitorios en Palermo,210000,80.0,3 Dormitorios,Palermo
3 Dormitorios en La Blanqueada,210000,180.0,3 Dormitorios,La Blanqueada
Más de 4 dormitorios en Buceo,210000,100.0,Más de 4 dormitorios,Buceo
Más de 4 dormitorios en Goes,210000,,Más de 4 dormitorios,Goes
4 Dormitorios en Pocitos,210000,210.0,4 Dormitorios,Pocitos
3 Dormitorios en Reducto,210000,177.0,3 Dormitorios,Reducto
2 Dormitorios en Pocitos,210000,102.0,2 Dormitorios,Pocitos
2 Dormitorios en Prado,210000,75.0,2 Dormitorios,Prado
2 Dormitorios en Malvin,210000,100.0,2 Dormitorios,Malvin
2 Dormitorios en Jacinto Vera,210000,148.0,2 Dormitorios,Jacinto Vera
2 Dormitorios en Punta Carretas,210000,70.0,2 Dormitorios,Punta Carretas
3 Dormitorios en Malvin,210000,106.0,3 Dormitorios,Malvin
3 Dormitorios en Goes,210000,193.0,3 Dormitorios,Goes
3 Dormitorios en Prado,210000,302.0,3 Dormitorios,Prado
2 Dormitorios en Malvin,210000,90.0,2 Dormitorios,Malvin
4 Dormitorios en Prado,210000,302.0,4 Dormitorios,Prado
Más de 4 dormitorios en Sayago,210000,160.0,Más de 4 dormitorios,Sayago
4 Dormitorios en Tres Cruces,210000,198.0,4 Dormitorios,Tres Cruces
2 Dormitorios en Buceo,210000,105.0,2 Dormitorios,Buceo
3 Dormitorios en Goes,210000,180.0,3 Dormitorios,Goes
2 Dormitorios en Buceo,210000,100.0,2 Dormitorios,Buceo
2 Dormitorios en Malvin,210000,90.0,2 Dormitorios,Malvin
2 Dormitorios en Pocitos Nuevo,210000,65.0,2 Dormitorios,Pocitos Nuevo
2 Dormitorios en Pocitos,210000,74.0,2 Dormitorios,Pocitos
3 Dormitorios en Centro,210000,65.0,3 Dormitorios,Centro
3 Dormitorios en Bolivar,210000,1.0,3 Dormitorios,Bolivar
3 Dormitorios en Pocitos,210000,110.0,3 Dormitorios,Pocitos
4 Dormitorios en Aires Puros,210000,,4 Dormitorios,Aires Puros
3 Dormitorios en Palermo,210000,112.0,3 Dormitorios,Palermo
3 Dormitorios en Jacinto Vera,210000,96.0,3 Dormitorios,Jacinto Vera
2 Dormitorios en Bolivar,210000,160.0,2 Dormitorios,Bolivar
3 Dormitorios en Sayago,210000,104.0,3 Dormitorios,Sayago
4 Dormitorios en Parque Rodo,210000,,4 Dormitorios,Parque Rodo
3 Dormitorios en Jacinto Vera,210000,167.0,3 Dormitorios,Jacinto Vera
3 Dormitorios en Capurro,210000,243.0,3 Dormitorios,Capurro
3 Dormitorios en Larrañaga,210000,80.0,3 Dormitorios,Larrañaga
Más de 4 dormitorios en Centro,212000,340.0,Más de 4 dormitorios,Centro
Más de 4 dormitorios en Centro,212000,340.0,Más de 4 dormitorios,Centro
2 Dormitorios en La Blanqueada,215000,104.0,2 Dormitorios,La Blanqueada
2 Dormitorios en Prado,215000,191.0,2 Dormitorios,Prado
2 Dormitorios en Punta Gorda,215000,82.0,2 Dormitorios,Punta Gorda
3 Dormitorios en Brazo Oriental,215000,110.0,3 Dormitorios,Brazo Oriental
4 Dormitorios en Parque Rodo,215000,225.0,4 Dormitorios,Parque Rodo
3 Dormitorios en Jacinto Vera,215000,120.0,3 Dormitorios,Jacinto Vera
Más de 4 dormitorios en Brazo Oriental,215000,161.0,Más de 4 dormitorios,Brazo Oriental
3 Dormitorios en Arroyo Seco,215000,192.0,3 Dormitorios,Arroyo Seco
3 Dormitorios en Otro,215000,200.0,3 Dormitorios,Otro
2 Dormitorios en Carrasco,215000,813.0,2 Dormitorios,Carrasco
4 Dormitorios en Malvin,215000,138.0,4 Dormitorios,Malvin
Más de 4 dormitorios en Centro,215000,430.0,Más de 4 dormitorios,Centro
3 Dormitorios en Malvin,215000,140.0,3 Dormitorios,Malvin
3 Dormitorios en Ciudad Vieja,215000,150.0,3 Dormitorios,Ciudad Vieja
Más de 4 dormitorios en Nuevo Paris,215000,312.0,Más de 4 dormitorios,Nuevo Paris
Más de 4 dormitorios en Nuevo Paris,215000,312.0,Más de 4 dormitorios,Nuevo Paris
2 Dormitorios en Carrasco Norte,215000,,2 Dormitorios,Carrasco Norte
2 Dormitorios en Malvin,215000,119.0,2 Dormitorios,Malvin
3 Dormitorios en Jacinto Vera,215000,120.0,3 Dormitorios,Jacinto Vera
4 Dormitorios en Parque Rodo,215000,225.0,4 Dormitorios,Parque Rodo
3 Dormitorios en Parque Rodo,215000,149.0,3 Dormitorios,Parque Rodo
3 Dormitorios en Pocitos,215000,67.0,3 Dormitorios,Pocitos
2 Dormitorios en Punta Gorda,215000,80.0,2 Dormitorios,Punta Gorda
3 Dormitorios en Pocitos,215000,73.0,3 Dormitorios,Pocitos
2 Dormitorios en Malvin,215000,69.0,2 Dormitorios,Malvin
3 Dormitorios en Carrasco Norte,215000,813.0,3 Dormitorios,Carrasco Norte
2 Dormitorios en Punta Gorda,215000,82.0,2 Dormitorios,Punta Gorda
4 Dormitorios en Parque Rodo,215000,146.0,4 Dormitorios,Parque Rodo
Más de 4 dormitorios en Nuevo Paris,215000,312.0,Más de 4 dormitorios,Nuevo Paris
Más de 4 dormitorios en Malvin,215000,105.0,Más de 4 dormitorios,Malvin
4 Dormitorios en Goes,215000,,4 Dormitorios,Goes
3 Dormitorios en Parque Rodo,215000,80.0,3 Dormitorios,Parque Rodo
4 Dormitorios en Prado Norte,215000,146.0,4 Dormitorios,Prado Norte
3 Dormitorios en La Blanqueada,215000,120.0,3 Dormitorios,La Blanqueada
Más de 4 dormitorios en Nuevo Paris,215000,312.0,Más de 4 dormitorios,Nuevo Paris
Más de 4 dormitorios en Belvedere,215000,312.0,Más de 4 dormitorios,Belvedere
2 Dormitorios en Malvin Norte,215000,221.0,2 Dormitorios,Malvin Norte
4 Dormitorios en Centro,215000,178.0,4 Dormitorios,Centro
2 Dormitorios en Parque Batlle,215000,104.0,2 Dormitorios,Parque Batlle
4 Dormitorios en Carrasco Norte,215000,120.0,4 Dormitorios,Carrasco Norte
3 Dormitorios en Pocitos,216000,228.0,3 Dormitorios,Pocitos
3 Dormitorios en Cordon,218000,112.0,3 Dormitorios,Cordon
3 Dormitorios en Reducto,218000,176.0,3 Dormitorios,Reducto
4 Dormitorios en Piedras Blancas,218000,276.0,4 Dormitorios,Piedras Blancas
2 Dormitorios en Buceo,218000,96.0,2 Dormitorios,Buceo
3 Dormitorios en Pocitos,218000,114.0,3 Dormitorios,Pocitos
2 Dormitorios en Buceo,218000,75.0,2 Dormitorios,Buceo
Más de 4 dormitorios en Aguada,219000,188.0,Más de 4 dormitorios,Aguada
3 Dormitorios en Pocitos,220000,,3 Dormitorios,Pocitos
Más de 4 dormitorios en Aguada,220000,272.0,Más de 4 dormitorios,Aguada
3 Dormitorios en Jacinto Vera,220000,,3 Dormitorios,Jacinto Vera
3 Dormitorios en La Blanqueada,220000,110.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Cordon,220000,148.0,3 Dormitorios,Cordon
4 Dormitorios en Malvin Norte,220000,,4 Dormitorios,Malvin Norte
2 Dormitorios en Pocitos,220000,70.0,2 Dormitorios,Pocitos
3 Dormitorios en Brazo Oriental,220000,,3 Dormitorios,Brazo Oriental
3 Dormitorios en Brazo Oriental,220000,153.0,3 Dormitorios,Brazo Oriental
3 Dormitorios en Pocitos Nuevo,220000,150.0,3 Dormitorios,Pocitos Nuevo
3 Dormitorios en La Blanqueada,220000,168.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Malvin,220000,120.0,3 Dormitorios,Malvin
Más de 4 dormitorios en Centro,220000,340.0,Más de 4 dormitorios,Centro
2 Dormitorios en Carrasco Norte,220000,175.0,2 Dormitorios,Carrasco Norte
4 Dormitorios en Prado Norte,220000,120.0,4 Dormitorios,Prado Norte
4 Dormitorios en Brazo Oriental,220000,222.0,4 Dormitorios,Brazo Oriental
2 Dormitorios en La Blanqueada,220000,85.0,2 Dormitorios,La Blanqueada
2 Dormitorios en Pocitos Nuevo,220000,85.0,2 Dormitorios,Pocitos Nuevo
4 Dormitorios en Aguada,220000,186.0,4 Dormitorios,Aguada
Más de 4 dormitorios en Buceo,220000,150.0,Más de 4 dormitorios,Buceo
3 Dormitorios en La Blanqueada,220000,170.0,3 Dormitorios,La Blanqueada
Más de 4 dormitorios en Cordon,220000,,Más de 4 dormitorios,Cordon
2 Dormitorios en Pocitos,220000,140.0,2 Dormitorios,Pocitos
3 Dormitorios en Jacinto Vera,220000,,3 Dormitorios,Jacinto Vera
Más de 4 dormitorios en La Blanqueada,220000,,Más de 4 dormitorios,La Blanqueada
4 Dormitorios en Villa Muñoz,220000,186.0,4 Dormitorios,Villa Muñoz
1 Ambiente en Pocitos,220000,98.0,1 Ambiente,Pocitos
Más de 4 dormitorios en Centro,220000,178.0,Más de 4 dormitorios,Centro
2 Dormitorios en La Blanqueada,220000,107.0,2 Dormitorios,La Blanqueada
4 Dormitorios en Tres Cruces,220000,280.0,4 Dormitorios,Tres Cruces
4 Dormitorios en Brazo Oriental,220000,160.0,4 Dormitorios,Brazo Oriental
2 Dormitorios en Buceo,220000,69.0,2 Dormitorios,Buceo
Más de 4 dormitorios en Prado,220000,,Más de 4 dormitorios,Prado
4 Dormitorios en Prado Norte,220000,93.0,4 Dormitorios,Prado Norte
2 Dormitorios en Jacinto Vera,220000,212.0,2 Dormitorios,Jacinto Vera
4 Dormitorios en Palermo,220000,,4 Dormitorios,Palermo
3 Dormitorios en Brazo Oriental,220000,,3 Dormitorios,Brazo Oriental
3 Dormitorios en Jacinto Vera,220000,130.0,3 Dormitorios,Jacinto Vera
2 Dormitorios en La Blanqueada,220000,107.0,2 Dormitorios,La Blanqueada
3 Dormitorios en Goes,220000,70.0,3 Dormitorios,Goes
3 Dormitorios en Prado,220000,95.0,3 Dormitorios,Prado
4 Dormitorios en Prado,220000,93.0,4 Dormitorios,Prado
2 Dormitorios en Parque Rodo,220000,62.0,2 Dormitorios,Parque Rodo
3 Dormitorios en Buceo,220000,,3 Dormitorios,Buceo
3 Dormitorios en Jacinto Vera,220000,102.0,3 Dormitorios,Jacinto Vera
2 Dormitorios en Punta Gorda,220000,148.0,2 Dormitorios,Punta Gorda
4 Dormitorios en Aguada,220000,182.0,4 Dormitorios,Aguada
2 Dormitorios en Pocitos Nuevo,220000,78.0,2 Dormitorios,Pocitos Nuevo
2 Dormitorios en Colon,220000,220.0,2 Dormitorios,Colon
Más de 4 dormitorios en Atahualpa,220000,180.0,Más de 4 dormitorios,Atahualpa
Más de 4 dormitorios en Cordon,220000,340.0,Más de 4 dormitorios,Cordon
2 Dormitorios en Malvin,220000,,2 Dormitorios,Malvin
3 Dormitorios en Malvin Norte,220000,100.0,3 Dormitorios,Malvin Norte
Más de 4 dormitorios en Centro,220000,,Más de 4 dormitorios,Centro
2 Dormitorios en Parque Batlle,220000,85.0,2 Dormitorios,Parque Batlle
Más de 4 dormitorios en Reducto,220000,163.0,Más de 4 dormitorios,Reducto
3 Dormitorios en Prado,220000,110.0,3 Dormitorios,Prado
3 Dormitorios en Pocitos,220000,119.0,3 Dormitorios,Pocitos
3 Dormitorios en Jacinto Vera,220000,130.0,3 Dormitorios,Jacinto Vera
Más de 4 dormitorios en Centro,220000,340.0,Más de 4 dormitorios,Centro
3 Dormitorios en Peñarol,220000,,3 Dormitorios,Peñarol
3 Dormitorios en Buceo,220000,90.0,3 Dormitorios,Buceo
3 Dormitorios en La Blanqueada,220000,168.0,3 Dormitorios,La Blanqueada
2 Dormitorios en Cordon,220000,50.0,2 Dormitorios,Cordon
3 Dormitorios en Prado,220000,,3 Dormitorios,Prado
3 Dormitorios en La Blanqueada,220000,110.0,3 Dormitorios,La Blanqueada
4 Dormitorios en Aguada,220000,186.0,4 Dormitorios,Aguada
3 Dormitorios en La Blanqueada,220000,188.0,3 Dormitorios,La Blanqueada
2 Dormitorios en Pocitos,220000,140.0,2 Dormitorios,Pocitos
Más de 4 dormitorios en Malvin,220000,120.0,Más de 4 dormitorios,Malvin
2 Dormitorios en Parque Batlle,220000,85.0,2 Dormitorios,Parque Batlle
3 Dormitorios en Parque Batlle,220000,250.0,3 Dormitorios,Parque Batlle
3 Dormitorios en Brazo Oriental,220000,153.0,3 Dormitorios,Brazo Oriental
Más de 4 dormitorios en Tres Cruces,220000,100.0,Más de 4 dormitorios,Tres Cruces
Más de 4 dormitorios en Aguada,220000,173.0,Más de 4 dormitorios,Aguada
3 Dormitorios en Atahualpa,222000,,3 Dormitorios,Atahualpa
3 Dormitorios en Pocitos,223000,76.0,3 Dormitorios,Pocitos
3 Dormitorios en Parque Rodo,223000,75.0,3 Dormitorios,Parque Rodo
3 Dormitorios en Pocitos,223000,75.0,3 Dormitorios,Pocitos
3 Dormitorios en Punta Carretas,223000,75.0,3 Dormitorios,Punta Carretas
3 Dormitorios en Pocitos,223000,124.0,3 Dormitorios,Pocitos
3 Dormitorios en Pocitos,223000,75.0,3 Dormitorios,Pocitos
3 Dormitorios en Pocitos,223000,136.0,3 Dormitorios,Pocitos
3 Dormitorios en Punta Carretas,223000,76.0,3 Dormitorios,Punta Carretas
3 Dormitorios en Pocitos,223000,75.0,3 Dormitorios,Pocitos
2 Dormitorios en Cordon,225000,160.0,2 Dormitorios,Cordon
3 Dormitorios en Cordon,225000,180.0,3 Dormitorios,Cordon
2 Dormitorios en Pocitos,225000,,2 Dormitorios,Pocitos
Más de 4 dormitorios en Maroñas,225000,204.0,Más de 4 dormitorios,Maroñas
2 Dormitorios en Parque Rodo,225000,88.0,2 Dormitorios,Parque Rodo
2 Dormitorios en Pocitos,225000,140.0,2 Dormitorios,Pocitos
3 Dormitorios en Tres Cruces,225000,120.0,3 Dormitorios,Tres Cruces
3 Dormitorios en La Comercial,225000,95.0,3 Dormitorios,La Comercial
2 Dormitorios en Malvin,225000,90.0,2 Dormitorios,Malvin
3 Dormitorios en Parque Batlle,225000,122.0,3 Dormitorios,Parque Batlle
3 Dormitorios en Pocitos,225000,140.0,3 Dormitorios,Pocitos
3 Dormitorios en Buceo,225000,210.0,3 Dormitorios,Buceo
3 Dormitorios en Cordon,225000,234.0,3 Dormitorios,Cordon
3 Dormitorios en Goes,225000,93.0,3 Dormitorios,Goes
2 Dormitorios en Parque Batlle,225000,100.0,2 Dormitorios,Parque Batlle
2 Dormitorios en Pocitos,225000,140.0,2 Dormitorios,Pocitos
3 Dormitorios en Tres Cruces,225000,92.0,3 Dormitorios,Tres Cruces
Más de 4 dormitorios en Aguada,225000,230.0,Más de 4 dormitorios,Aguada
4 Dormitorios en Maroñas Curva,225000,205.0,4 Dormitorios,Maroñas Curva
2 Dormitorios en Punta Gorda,225000,70.0,2 Dormitorios,Punta Gorda
Más de 4 dormitorios en Centro,225000,,Más de 4 dormitorios,Centro
3 Dormitorios en Cordon,225000,130.0,3 Dormitorios,Cordon
4 Dormitorios en Jacinto Vera,225000,174.0,4 Dormitorios,Jacinto Vera
3 Dormitorios en Cordon,225000,220.0,3 Dormitorios,Cordon
2 Dormitorios en Pocitos,225000,140.0,2 Dormitorios,Pocitos
3 Dormitorios en Parque Batlle,225000,103.0,3 Dormitorios,Parque Batlle
3 Dormitorios en Centro,225000,220.0,3 Dormitorios,Centro
3 Dormitorios en Malvin Norte,225000,160.0,3 Dormitorios,Malvin Norte
3 Dormitorios en La Blanqueada,225000,189.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Jacinto Vera,225000,93.0,3 Dormitorios,Jacinto Vera
3 Dormitorios en Cordon,225000,161.0,3 Dormitorios,Cordon
Más de 4 dormitorios en Sayago,225000,229.0,Más de 4 dormitorios,Sayago
3 Dormitorios en Tres Cruces,225000,,3 Dormitorios,Tres Cruces
3 Dormitorios en La Blanqueada,225000,125.0,3 Dormitorios,La Blanqueada
4 Dormitorios en Prado,225000,137.0,4 Dormitorios,Prado
3 Dormitorios en Buceo,225000,160.0,3 Dormitorios,Buceo
3 Dormitorios en La Comercial,225000,91.0,3 Dormitorios,La Comercial
4 Dormitorios en Atahualpa,225000,170.0,4 Dormitorios,Atahualpa
2 Dormitorios en Malvin,225000,150.0,2 Dormitorios,Malvin
2 Dormitorios en Tres Cruces,225000,160.0,2 Dormitorios,Tres Cruces
2 Dormitorios en Prado,225000,92.0,2 Dormitorios,Prado
2 Dormitorios en Jacinto Vera,225000,135.0,2 Dormitorios,Jacinto Vera
2 Dormitorios en Punta Gorda,225000,90.0,2 Dormitorios,Punta Gorda
3 Dormitorios en Pocitos,225000,140.0,3 Dormitorios,Pocitos
2 Dormitorios en Pocitos Nuevo,225000,95.0,2 Dormitorios,Pocitos Nuevo
2 Dormitorios en Punta Gorda,225000,63.0,2 Dormitorios,Punta Gorda
2 Dormitorios en Malvin,226000,100.0,2 Dormitorios,Malvin
3 Dormitorios en Brazo Oriental,227000,190.0,3 Dormitorios,Brazo Oriental
3 Dormitorios en Brazo Oriental,227000,165.0,3 Dormitorios,Brazo Oriental
Más de 4 dormitorios en La Blanqueada,228000,160.0,Más de 4 dormitorios,La Blanqueada
4 Dormitorios en Cordon,228000,150.0,4 Dormitorios,Cordon
3 Dormitorios en Cordon,228000,110.0,3 Dormitorios,Cordon
4 Dormitorios en Palermo,228000,140.0,4 Dormitorios,Palermo
4 Dormitorios en Barrio Sur,228000,145.0,4 Dormitorios,Barrio Sur
4 Dormitorios en Palermo,228000,232.0,4 Dormitorios,Palermo
3 Dormitorios en La Blanqueada,228000,92.0,3 Dormitorios,La Blanqueada
4 Dormitorios en Palermo,228000,135.0,4 Dormitorios,Palermo
4 Dormitorios en Centro,228000,150.0,4 Dormitorios,Centro
2 Dormitorios en Malvin,228000,108.0,2 Dormitorios,Malvin
2 Dormitorios en Malvin,228000,108.0,2 Dormitorios,Malvin
3 Dormitorios en Prado,229000,151.0,3 Dormitorios,Prado
3 Dormitorios en Atahualpa,229000,151.0,3 Dormitorios,Atahualpa
3 Dormitorios en La Blanqueada,229000,126.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Buceo,229000,140.0,3 Dormitorios,Buceo
3 Dormitorios en Brazo Oriental,229000,151.0,3 Dormitorios,Brazo Oriental
3 Dormitorios en Jacinto Vera,229000,163.0,3 Dormitorios,Jacinto Vera
2 Dormitorios en Buceo,229000,106.0,2 Dormitorios,Buceo
4 Dormitorios en Palermo,229000,143.0,4 Dormitorios,Palermo
3 Dormitorios en Reducto,229000,151.0,3 Dormitorios,Reducto
3 Dormitorios en Prado,230000,120.0,3 Dormitorios,Prado
4 Dormitorios en La Blanqueada,230000,196.0,4 Dormitorios,La Blanqueada
2 Dormitorios en Parque Batlle,230000,180.0,2 Dormitorios,Parque Batlle
2 Dormitorios en Malvin,230000,145.0,2 Dormitorios,Malvin
3 Dormitorios en Prado,230000,91.0,3 Dormitorios,Prado
4 Dormitorios en Atahualpa,230000,133.0,4 Dormitorios,Atahualpa
3 Dormitorios en La Blanqueada,230000,140.0,3 Dormitorios,La Blanqueada
4 Dormitorios en Parque Rodo,230000,208.0,4 Dormitorios,Parque Rodo
Más de 4 dormitorios en Aires Puros,230000,219.0,Más de 4 dormitorios,Aires Puros
3 Dormitorios en Carrasco,230000,120.0,3 Dormitorios,Carrasco
3 Dormitorios en Malvin,230000,120.0,3 Dormitorios,Malvin
4 Dormitorios en Tres Cruces,230000,175.0,4 Dormitorios,Tres Cruces
3 Dormitorios en Punta Gorda,230000,73.0,3 Dormitorios,Punta Gorda
3 Dormitorios en La Blanqueada,230000,199.0,3 Dormitorios,La Blanqueada
Más de 4 dormitorios en Brazo Oriental,230000,160.0,Más de 4 dormitorios,Brazo Oriental
Más de 4 dormitorios en La Comercial,230000,135.0,Más de 4 dormitorios,La Comercial
4 Dormitorios en Prado,230000,150.0,4 Dormitorios,Prado
3 Dormitorios en Buceo,230000,132.0,3 Dormitorios,Buceo
3 Dormitorios en Buceo,230000,95.0,3 Dormitorios,Buceo
3 Dormitorios en Cordon,230000,170.0,3 Dormitorios,Cordon
4 Dormitorios en Parque Rodo,230000,208.0,4 Dormitorios,Parque Rodo
3 Dormitorios en La Blanqueada,230000,180.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Malvin,230000,110.0,3 Dormitorios,Malvin
3 Dormitorios en Brazo Oriental,230000,184.0,3 Dormitorios,Brazo Oriental
3 Dormitorios en Tres Cruces,230000,,3 Dormitorios,Tres Cruces
Más de 4 dormitorios en Cordon,230000,178.0,Más de 4 dormitorios,Cordon
2 Dormitorios en La Blanqueada,230000,80.0,2 Dormitorios,La Blanqueada
2 Dormitorios en Pocitos,230000,76.0,2 Dormitorios,Pocitos
3 Dormitorios en Cordon,230000,180.0,3 Dormitorios,Cordon
4 Dormitorios en Sayago,230000,140.0,4 Dormitorios,Sayago
Más de 4 dormitorios en Tres Cruces,230000,183.0,Más de 4 dormitorios,Tres Cruces
3 Dormitorios en Parque Batlle,230000,180.0,3 Dormitorios,Parque Batlle
3 Dormitorios en Punta Gorda,230000,100.0,3 Dormitorios,Punta Gorda
2 Dormitorios en Parque Batlle,230000,180.0,2 Dormitorios,Parque Batlle
2 Dormitorios en Prado,230000,95.0,2 Dormitorios,Prado
4 Dormitorios en Jacinto Vera,230000,160.0,4 Dormitorios,Jacinto Vera
Más de 4 dormitorios en Cerrito,230000,,Más de 4 dormitorios,Cerrito
3 Dormitorios en Malvin,230000,116.0,3 Dormitorios,Malvin
2 Dormitorios en La Blanqueada,230000,60.0,2 Dormitorios,La Blanqueada
3 Dormitorios en Punta Gorda,230000,200.0,3 Dormitorios,Punta Gorda
Más de 4 dormitorios en Centro,230000,242.0,Más de 4 dormitorios,Centro
Más de 4 dormitorios en La Comercial,230000,180.0,Más de 4 dormitorios,La Comercial
3 Dormitorios en Carrasco,230000,85.0,3 Dormitorios,Carrasco
3 Dormitorios en Parque Batlle,230000,120.0,3 Dormitorios,Parque Batlle
Más de 4 dormitorios en Tres Cruces,230000,,Más de 4 dormitorios,Tres Cruces
