desc,valor,metraje,dormitorios,barrio
Más de 4 dormitorios en Pocitos,415000,150.0,Más de 4 dormitorios,Pocitos
Más de 4 dormitorios en Pocitos,415000,200.0,Más de 4 dormitorios,Pocitos
Más de 4 dormitorios en Villa Dolores,415000,200.0,Más de 4 dormitorios,Villa Dolores
4 Dormitorios en Carrasco Norte,415000,287.0,4 Dormitorios,Carrasco Norte
4 Dormitorios en Carrasco,415000,287.0,4 Dormitorios,Carrasco
3 Dormitorios en Pocitos,415000,180.0,3 Dormitorios,Pocitos
Más de 4 dormitorios en Parque Batlle,415000,200.0,Más de 4 dormitorios,Parque Batlle
4 Dormitorios en Pocitos,415000,200.0,4 Dormitorios,Pocitos
Más de 4 dormitorios en Pocitos,415000,150.0,Más de 4 dormitorios,Pocitos
4 Dormitorios en Pocitos,415000,,4 Dormitorios,Pocitos
4 Dormitorios en Pocitos,415000,,4 Dormitorios,Pocitos
4 Dormitorios en Malvin,419000,200.0,4 Dormitorios,Malvin
4 Dormitorios en Malvin,419000,200.0,4 Dormitorios,Malvin
Más de 4 dormitorios en Parque Batlle,420000,100.0,Más de 4 dormitorios,Parque Batlle
4 Dormitorios en Malvin,420000,350.0,4 Dormitorios,Malvin
4 Dormitorios en Ciudad Vieja,420000,225.0,4 Dormitorios,Ciudad Vieja
Más de 4 dormitorios en Pocitos,420000,200.0,Más de 4 dormitorios,Pocitos
Más de 4 dormitorios en Pocitos Nuevo,420000,,Más de 4 dormitorios,Pocitos Nuevo
Más de 4 dormitorios en Parque Batlle,420000,260.0,Más de 4 dormitorios,Parque Batlle
4 Dormitorios en Malvin,420000,200.0,4 Dormitorios,Malvin
3 Dormitorios en Carrasco,420000,135.0,3 Dormitorios,Carrasco
4 Dormitorios en Malvin,420000,120.0,4 Dormitorios,Malvin
Más de 4 dormitorios en Malvin,420000,250.0,Más de 4 dormitorios,Malvin
3 Dormitorios en Pocitos,420000,262.0,3 Dormitorios,Pocitos
Más de 4 dormitorios en Tres Cruces,420000,396.0,Más de 4 dormitorios,Tres Cruces
3 Dormitorios en Carrasco,420000,200.0,3 Dormitorios,Carrasco
3 Dormitorios en Carrasco,420000,150.0,3 Dormitorios,Carrasco
4 Dormitorios en Pocitos,420000,,4 Dormitorios,Pocitos
3 Dormitorios en Punta Gorda,420000,159.0,3 Dormitorios,Punta Gorda
Más de 4 dormitorios en Parque Batlle,420000,170.0,Más de 4 dormitorios,Parque Batlle
Más de 4 dormitorios en Parque Rodo,420000,218.0,Más de 4 dormitorios,Parque Rodo
4 Dormitorios en Malvin,420000,210.0,4 Dormitorios,Malvin
4 Dormitorios en Pocitos,420000,200.0,4 Dormitorios,Pocitos
3 Dormitorios en La Blanqueada,420000,172.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Punta Gorda,420000,160.0,3 Dormitorios,Punta Gorda
Más de 4 dormitorios en Malvin,420000,350.0,Más de 4 dormitorios,Malvin
Más de 4 dormitorios en Malvin,420000,250.0,Más de 4 dormitorios,Malvin
Más de 4 dormitorios en Prado,420000,597.0,Más de 4 dormitorios,Prado
3 Dormitorios en Malvin,420000,233.0,3 Dormitorios,Malvin
4 Dormitorios en Malvin,420000,200.0,4 Dormitorios,Malvin
3 Dormitorios en Pocitos,420000,156.0,3 Dormitorios,Pocitos
3 Dormitorios en Carrasco,420000,200.0,3 Dormitorios,Carrasco
4 Dormitorios en Parque Rodo,420000,267.0,4 Dormitorios,Parque Rodo
4 Dormitorios en Malvin,420000,500.0,4 Dormitorios,Malvin
4 Dormitorios en Parque Batlle,420000,200.0,4 Dormitorios,Parque Batlle
Más de 4 dormitorios en Prado,420000,170.0,Más de 4 dormitorios,Prado
Más de 4 dormitorios en Pocitos,420000,200.0,Más de 4 dormitorios,Pocitos
3 Dormitorios en Punta Gorda,420000,140.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Carrasco,420000,180.0,3 Dormitorios,Carrasco
3 Dormitorios en Pocitos,425000,150.0,3 Dormitorios,Pocitos
3 Dormitorios en Malvin,425000,,3 Dormitorios,Malvin
Más de 4 dormitorios en Pocitos,425000,220.0,Más de 4 dormitorios,Pocitos
4 Dormitorios en Malvin,425000,150.0,4 Dormitorios,Malvin
3 Dormitorios en Carrasco,425000,157.0,3 Dormitorios,Carrasco
Más de 4 dormitorios en Parque Rodo,425000,292.0,Más de 4 dormitorios,Parque Rodo
Más de 4 dormitorios en Punta Carretas,430000,175.0,Más de 4 dormitorios,Punta Carretas
Más de 4 dormitorios en La Blanqueada,430000,416.0,Más de 4 dormitorios,La Blanqueada
3 Dormitorios en Parque Miramar,430000,139.0,3 Dormitorios,Parque Miramar
Más de 4 dormitorios en Pocitos,430000,158.0,Más de 4 dormitorios,Pocitos
Más de 4 dormitorios en Palermo,430000,221.0,Más de 4 dormitorios,Palermo
3 Dormitorios en Parque Miramar,430000,150.0,3 Dormitorios,Parque Miramar
4 Dormitorios en Carrasco,430000,,4 Dormitorios,Carrasco
3 Dormitorios en Carrasco,430000,178.0,3 Dormitorios,Carrasco
Más de 4 dormitorios en Malvin,430000,217.0,Más de 4 dormitorios,Malvin
4 Dormitorios en Pocitos,430000,150.0,4 Dormitorios,Pocitos
Más de 4 dormitorios en Cordon,430000,410.0,Más de 4 dormitorios,Cordon
3 Dormitorios en Villa Biarritz,430000,150.0,3 Dormitorios,Villa Biarritz
1 Dormitorio en Cordon,430000,,1 Dormitorio,Cordon
4 Dormitorios en Carrasco,430000,183.0,4 Dormitorios,Carrasco
