desc,valor,url,lat,lng
2 Dormitorios,U$S 165.000,https://www.gallito.com.uy/venta-de-casa-en-las-delicias-2-dormitorios-playa-mansa-inmuebles-20126410,,
2 Dormitorios,U$S 165.000,https://www.gallito.com.uy/casa-en-mansa-2-dormitorios-inmuebles-17516833,,
2 Dormitorios - 130 m2,U$S 165.000,https://www.gallito.com.uy/venta-de-casa-en-pinares-punta-del-este-1746-inmuebles-16909170,-34.89191,-54.99767
3 Dormitorios,U$S 170.000,https://www.gallito.com.uy/oportunidad-a-150-m-del-mar-inmuebles-19896714,-34.95022,-54.93846
2 Dormitorios,U$S 170.000,https://www.gallito.com.uy/linda-casa-en-zona-residencial-inmuebles-19896964,,
1 Dormitorio,U$S 170.000,https://www.gallito.com.uy/casa-en-venta-la-barra-1-dormitorio-inmuebles-17750354,-34.89744,-54.86591
3 Dormitorios,U$S 170.000,https://www.gallito.com.uy/casa-3-dormitorios-mansa-punta-del-este-inmuebles-16906106,,
2 Dormitorios,U$S 170.000,https://www.gallito.com.uy/casa-en-roosevelt-2-dormitorios-inmuebles-18493746,,
3 Dormitorios - 70 m2,U$S 170.000,https://www.gallito.com.uy/venta-casa-3-dormitorios-pinares-punta-del-este-ref-3-inmuebles-20001334,-34.915,-54.97013
2 Dormitorios,U$S 170.000,https://www.gallito.com.uy/casa-venta-rincã³n-del-indio-punta-del-este-inmuebles-20108947,,
2 Dormitorios - 50 m2,U$S 174.990,https://www.gallito.com.uy/excelente-casa-2-dormitorios-zona-cantegril-inmuebles-19630179,-34.93312,-54.93996
3 Dormitorios,U$S 175.000,https://www.gallito.com.uy/casa-a-la-venta-3-dormitorios-punta-del-este-inmuebles-19890358,,
3 Dormitorios - 133 m2,U$S 175.000,https://www.gallito.com.uy/venta-casa-3-dormitorios-punta-del-este-rincon-del-indio-inmuebles-19997367,-34.92345,-54.87974
3 Dormitorios,U$S 175.000,https://www.gallito.com.uy/casa-en-rincon-del-indio-consulte-inmuebles-19957846,,
3 Dormitorios,U$S 175.000,https://www.gallito.com.uy/casa-en-un-en-entorno-agradable-rodeado-de-verde-inmuebles-18916572,,
3 Dormitorios,U$S 175.000,https://www.gallito.com.uy/casa-en-mansa-3-dormitorios-inmuebles-17597986,,
3 Dormitorios,U$S 175.000,https://www.gallito.com.uy/muy-linda-casa-en-venta-inmuebles-19231661,,
