desc,valor,metraje,url,lat,lng
1 Dormitorio en Sayago,U$S 46.500,40.0,https://www.gallito.com.uy/acm-casa-1-dorm-con-lindo-jardin-inmuebles-16754299,,
1 Dormitorio en Lezica,U$S 47.500,,https://www.gallito.com.uy/solar-cmejoras-con-casa-un-dormitorio-planchada-inmuebles-18078647,,
2 Dormitorios en Nuevo Centro,U$S 48.000,50.0,https://www.gallito.com.uy/prox-antel-arenas-patio-sin-gc-inmuebles-13714878,,
2 Dormitorios en Las Acacias,U$S 48.000,160.0,https://www.gallito.com.uy/casa-en-venta-ideal-renta-las-acacias-inmuebles-18714095,,
4 Dormitorios en Maroñas,U$S 48.000,130.0,https://www.gallito.com.uy/casa-y-apartamento-jardines-del-hipodromo-inmuebles-19379703,-34.84199,-56.13076
2 Dormitorios en La Teja,U$S 48.000,32.0,https://www.gallito.com.uy/terreno-mas-casa-a-reciclar-en-la-teja-inmuebles-18253554,-34.86233,-56.23794
1 Dormitorio en Villa Española,U$S 48.000,39.0,https://www.gallito.com.uy/oficina-sosa-apto-1-dorm-en-mercado-modelo-alquilado-inmuebles-17795367,-32.87555,-56.02015
2 Dormitorios en Maroñas,U$S 48.000,54.0,https://www.gallito.com.uy/casa-2-dorm-en-calle-areguati-y-puntas-de-soto-inmuebles-15916421,-34.8536,-56.12281
1 Dormitorio en Cno. Maldonado,U$S 49.000,,https://www.gallito.com.uy/abipones-casi-milan-bella-italia-inmuebles-19649029,,
2 Dormitorios en Belvedere,U$S 49.000,62.0,https://www.gallito.com.uy/venta-casa-2-dor-belvedere-inmuebles-20033417,-34.84514,-56.23104
2 Dormitorios en Colon,U$S 49.000,50.0,https://www.gallito.com.uy/casa-tipo-duplex-en-venta-en-colon-inmuebles-14543267,-34.8129,-56.22515
2 Dormitorios en Aires Puros,U$S 49.000,60.0,https://www.gallito.com.uy/cooperativa-a-metros-de-bulevar-batlle-y-ordoñez-inmuebles-17960918,-34.85113,-56.1846
1 Dormitorio en Union,U$S 49.000,,https://www.gallito.com.uy/casa-venta-1-dormitorio-1-baã±o-enrique-clay-uniã³n-inmuebles-19552517,-34.86951,-56.13508
