desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine
Más de 4 dormitorios en Colon,86000,150.0,https://www.gallito.com.uy/tres-casas-en-venta-en-colon-a-una-cuadra-de-avda-garzon-inmuebles-16461887,-34.80182,-56.2209,Más de 4 dormitorios,Colon,"Colón Sureste, Abayubá",58.0
1 Dormitorio en Otro,86000,42.0,https://www.gallito.com.uy/casa-en-venta-inmuebles-20745935,,,1 Dormitorio,Otro,,
2 Dormitorios en Ituzaingo,86000,55.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-ituzaingo-excelente-estado-inmuebles-21126981,,,2 Dormitorios,Ituzaingo,Ituzaingó,22.0
2 Dormitorios en Villa Española,86500,111.0,https://www.gallito.com.uy/venta-casa-en-la-union-2-dormitorios-reciclado-inmuebles-20800952,-34.87107,-56.14009,2 Dormitorios,Villa Española,Villa Española,24.0
1 Ambiente en Peñarol,87000,,https://www.gallito.com.uy/vendo-casa-grande-y-3-apartamentos-peãarol-wc-inmuebles-20905785,-34.955,-54.971,1 Ambiente,Peñarol,"Peñarol, Lavalleja",34.0
3 Dormitorios en Lezica,87000,,https://www.gallito.com.uy/hermosa-casa-3-dormitorios-en-villa-colon-consulte-inmuebles-20342928,,,3 Dormitorios,Lezica,"Lezica, Melilla",60.0
3 Dormitorios en Cerrito,87000,104.0,https://www.gallito.com.uy/venta-casa-a-reciclar-el-cerrito-gral-flores-y-serrato-inmuebles-13429161,,,3 Dormitorios,Cerrito,Cerrito,27.0
3 Dormitorios en Cerrito,87000,65.0,https://www.gallito.com.uy/prox-gral-flores-con-cochera-jardin-patio-con-parrillero-inmuebles-16479138,,,3 Dormitorios,Cerrito,Cerrito,27.0
2 Dormitorios en Maroñas,87000,90.0,https://www.gallito.com.uy/2-casas-en-mismo-padron-sobre-guemes-prox-jose-pedro-varela-inmuebles-16433841,-34.85792,-56.14008,2 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0
1 Dormitorio en Parque Batlle,87000,49.0,https://www.gallito.com.uy/casa-al-frente-dos-plantas-inmuebles-20033520,,,1 Dormitorio,Parque Batlle,"Parque Batlle, Villa Dolores",10.0
3 Dormitorios en Cno. Maldonado,87000,158.0,https://www.gallito.com.uy/cno-maldonado-casi-abipones-inmuebles-18443119,,,3 Dormitorios,Cno. Maldonado,Colón Centro y Noroeste,59.0
2 Dormitorios en Belvedere,87000,70.0,https://www.gallito.com.uy/reservada-excelente-casa-con-jardin-y-fondo-acepta-inmuebles-19916553,-34.85507,-56.22908,2 Dormitorios,Belvedere,Belvedere,54.0
2 Dormitorios en J. Hipodromo,87000,,https://www.gallito.com.uy/pontevedra-esq-montecarlo-casa-y-apto-oportunidad-inmuebles-20320911,,,2 Dormitorios,J. Hipodromo,Jardines del Hipódromo,21.0
2 Dormitorios en Centro,88000,70.0,https://www.gallito.com.uy/venta-venta-de-casa-para-reciclar-barrio-sur-inmuebles-21024186,,,2 Dormitorios,Centro,Centro,2.0
2 Dormitorios en Union,88000,59.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-union-amplia-y-luminosa-inmuebles-20656505,-34.87501,-56.13908,2 Dormitorios,Union,Unión,23.0
2 Dormitorios en Maroñas,88000,59.0,https://www.gallito.com.uy/2-dormitorios-2-baños-jardin-casa-ph-independiente-inmuebles-18801788,,,2 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0
1 Dormitorio en Atahualpa,88000,44.0,https://www.gallito.com.uy/casas-duplex-atahualpa-reducto-1-dormitorio-patio-ud-05-inmuebles-20585006,-34.87395,-56.18545,1 Dormitorio,Atahualpa,Atahualpa,43.0
1 Dormitorio en La Blanqueada,88000,38.0,https://www.gallito.com.uy/la-blanqueada-casa-1-planta-jardin-cochera-con-renta-inmuebles-20900006,-34.88625,-56.14413,1 Dormitorio,La Blanqueada,La Blanqueada,47.0
1 Dormitorio en La Blanqueada,88000,37.0,https://www.gallito.com.uy/muy-linda-a-metros-de-br-artigas-casa-en-planta-alta-inmuebles-20905663,-34.87081,-56.16713,1 Dormitorio,La Blanqueada,La Blanqueada,47.0
2 Dormitorios en Aires Puros,88000,50.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-fondo-jardin-ituzaingo-inmuebles-20805723,-34.84839,-56.13385,2 Dormitorios,Aires Puros,Aires Puros,29.0
2 Dormitorios en Maroñas Curva,88000,56.0,https://www.gallito.com.uy/2-dormitorios-2-baños-jardin-mateo-cortes-inmuebles-18801799,,,2 Dormitorios,Maroñas Curva,"Maroñas, Parque Guaraní",17.0
2 Dormitorios en Pocitos,88000,61.0,https://www.gallito.com.uy/casa-en-venta-inmuebles-20533316,-34.90576,-56.15947,2 Dormitorios,Pocitos,Pocitos,8.0
1 Dormitorio en Atahualpa,88000,44.0,https://www.gallito.com.uy/casas-duplex-atahualpa-reducto-1-dormitorio-patio-inmuebles-20573931,-34.87395,-56.18545,1 Dormitorio,Atahualpa,Atahualpa,43.0
2 Dormitorios en Nuevo Paris,88000,120.0,https://www.gallito.com.uy/venta-casa-nuevo-paris-inmuebles-21114833,,,2 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0
1 Dormitorio en La Blanqueada,88000,35.0,https://www.gallito.com.uy/muy-bien-ubicado-ph-de-altos-con-30-metros-de-terraza-inmuebles-18370639,,,1 Dormitorio,La Blanqueada,La Blanqueada,47.0
1 Dormitorio en Jacinto Vera,88000,44.0,https://www.gallito.com.uy/venta-casa-jacinto-vera-1-dormitorio-burgues-a-estrenar-con-inmuebles-20507638,,,1 Dormitorio,Jacinto Vera,Jacinto Vera,44.0
1 Dormitorio en Atahualpa,88000,44.0,https://www.gallito.com.uy/lanzamiento-con-patio-enjardinado-uss-88000-inmuebles-20518316,-34.87395,-56.18525,1 Dormitorio,Atahualpa,Atahualpa,43.0
2 Dormitorios en Aires Puros,88000,50.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-fondo-jardin-ituzaingo-inmuebles-20835359,-34.84839,-56.13385,2 Dormitorios,Aires Puros,Aires Puros,29.0
2 Dormitorios en Centro,89000,72.0,https://www.gallito.com.uy/casa-2-dorm-venta-los-bulevares-cochera-inmuebles-21148691,-34.81903,-56.3001,2 Dormitorios,Centro,Centro,2.0
2 Dormitorios en Parque Rodo,89000,55.0,https://www.gallito.com.uy/oportunidad-2-dor-c-azotea-prox-guana-y-salterain-inmuebles-20800707,-34.9051,-56.16879,2 Dormitorios,Parque Rodo,Parque Rodó,6.0
2 Dormitorios en Cerro,89000,92.0,https://www.gallito.com.uy/casa-con-apartamento-al-fondo-inmuebles-20524788,-34.87561,-56.25574,2 Dormitorios,Cerro,Cerro,35.0
2 Dormitorios en Perez Castellanos,89000,70.0,https://www.gallito.com.uy/casa-en-ph-al-frente-con-jardin-y-cochera-techada-inmuebles-19723250,-34.85194,-56.15173,2 Dormitorios,Perez Castellanos,"Castro, P. Castellanos",26.0
1 Ambiente en Palermo,89000,44.0,https://www.gallito.com.uy/venta-palermo-localapartamento-gonzalo-ramírez-inmuebles-21115242,,,1 Ambiente,Palermo,Palermo,5.0
2 Dormitorios en Paso Molino,89000,106.0,https://www.gallito.com.uy/casablanca-padron-unico-para-actualizar-inmuebles-18598274,,,2 Dormitorios,Paso Molino,,
