desc,valor,metraje,url
2 Dormitorios en Las Acacias,U$S 48.000,160,https://www.gallito.com.uy/casa-en-venta-ideal-renta-las-acacias-inmuebles-18714095
2 Dormitorios en La Teja,U$S 48.000,65,https://www.gallito.com.uy/oportunidad-casa-mas-apartamento-inmuebles-21873912
2 Dormitorios en La Teja,U$S 48.000,32,https://www.gallito.com.uy/terreno-mas-casa-a-reciclar-en-la-teja-inmuebles-20655493
2 Dormitorios en Colon,U$S 49.000,50,https://www.gallito.com.uy/casa-tipo-duplex-en-venta-en-colon-inmuebles-14543267
3 Dormitorios en Casabo,U$S 49.000,53,https://www.gallito.com.uy/casa-en-casabo-3-dormitorios-parada-de-bus-en-la-esquin-inmuebles-21240088
3 Dormitorios en Lezica,U$S 49.500,73,https://www.gallito.com.uy/venta-casa-en-lezica-inmuebles-21998229
2 Dormitorios en Manga,U$S 50.000,60,https://www.gallito.com.uy/bernardo-berro-y-estrella-polar-inmuebles-17028538
3 Dormitorios en Cerro,U$S 50.000,,https://www.gallito.com.uy/venta-casa-cerro-montevideo-imasuy-a-inmuebles-22101954
2 Dormitorios en Maroñas,U$S 50.000,,https://www.gallito.com.uy/marcos-salcedo-casi-manuel-acuña-flor-de-maroñas-inmuebles-21477246
1 Dormitorio en Manga,U$S 50.000,42,https://www.gallito.com.uy/excelente-casa-con-jadrin-y-parrillero-acepta-bco-inmuebles-20040532
3 Dormitorios en Union,U$S 50.000,90,https://www.gallito.com.uy/oportunidad-inversor-casa-a-reciclar-union-padron-168-m2-inmuebles-21759268
1 Dormitorio en Villa Muñoz,U$S 50.000,50,https://www.gallito.com.uy/inversores-actualmente-esta-alquilada-se-vende-con-renta-inmuebles-20423761
2 Dormitorios en Nuevo Paris,U$S 50.000,60,https://www.gallito.com.uy/refor-vende-casa-en-nuevo-paris-inmuebles-20766205
3 Dormitorios en Aires Puros,U$S 50.000,60,https://www.gallito.com.uy/venta-casa-3d-fondo-parrillero-ituzaingo-inmuebles-21569872
3 Dormitorios en La Teja,U$S 50.000,80,https://www.gallito.com.uy/venta-casa-la-teja-montevideo-imasuy-a-inmuebles-21443003
3 Dormitorios en Peñarol,U$S 50.000,66,https://www.gallito.com.uy/casa-en-venta-3-dormitorios-peñarol-inmuebles-22276985
1 Dormitorio en Union,U$S 50.000,,https://www.gallito.com.uy/casa-tipo-apartamento-en-la-union-inmuebles-21335017
1 Dormitorio en Union,U$S 50.000,,https://www.gallito.com.uy/casa-tipo-apartamento-en-la-union-inmuebles-21542333
3 Dormitorios en La Teja,U$S 50.000,470,https://www.gallito.com.uy/venta-casa-3-dormitorios-a-reciclar-la-teja-inmuebles-21165075
2 Dormitorios en Belvedere,U$S 50.000,,https://www.gallito.com.uy/casa-en-venta-en-belvedere-inmuebles-21820772
3 Dormitorios en Paso De La Arena,U$S 50.000,80,https://www.gallito.com.uy/venta-casa-cerro-montevideo-imasuy-a-inmuebles-21443007
2 Dormitorios en La Teja,U$S 50.000,100,https://www.gallito.com.uy/casa-de-2-dormitorios-en-la-teja-inmuebles-21998215
2 Dormitorios en Sayago,U$S 50.000,70,https://www.gallito.com.uy/casa-en-venta-en-conciliacion-inmuebles-18646910
2 Dormitorios en Lezica,U$S 85.000,70,https://www.gallito.com.uy/casa-en-venta-barrio-lezica-inmuebles-15937759
3 Dormitorios en Reducto,U$S 85.000,70,https://www.gallito.com.uy/venta-casa-a-reciclar-3-dormitorios-reducto-inmuebles-21511301
1 Dormitorio en Prado,U$S 85.000,,https://www.gallito.com.uy/casa-en-venta-1-dormitorio-1-baã±o-patio-maria-orti-inmuebles-22232886
2 Dormitorios en Jacinto Vera,U$S 85.000,100,https://www.gallito.com.uy/excelente-oportunidad-casa-en-la-comerical-inmuebles-21951138
3 Dormitorios en La Teja,U$S 85.000,,https://www.gallito.com.uy/refor-alquila-casa-en-pueblo-victoria-inmuebles-21507082
3 Dormitorios en Reducto,U$S 85.000,70,https://www.gallito.com.uy/venta-casa-3-dormitorios-cochera-reducto-imasuy-m-inmuebles-22238247
3 Dormitorios en Jacinto Vera,U$S 85.000,70,https://www.gallito.com.uy/venta-de-casa-de-70m2-en-jacinto-vera-inmuebles-21515936
2 Dormitorios en Piedras Blancas,U$S 85.000,120,https://www.gallito.com.uy/venta-casa-2-dormitorios-piedras-blancas-inmuebles-21591076
2 Dormitorios en Punta Rieles,U$S 85.000,,https://www.gallito.com.uy/vende-casa-para-reciclar-padrã³n-ãnico-de-516-m2-casi-inmuebles-22298481
1 Dormitorio en Brazo Oriental,U$S 85.000,60,https://www.gallito.com.uy/con-rentaproximo-nuevo-centro-andres-lamas-y-labandeira-inmuebles-13917775
3 Dormitorios en Belvedere,U$S 85.000,78,https://www.gallito.com.uy/va930-venta-casa-3-dorm-en-belvedere-azotea-transitable-inmuebles-21563393
3 Dormitorios en Bella Vista,U$S 85.000,70,https://www.gallito.com.uy/venta-casa-3-dormitorios-cochera-bella-vista-imasuy-m-inmuebles-22238708
2 Dormitorios en La Teja,U$S 85.000,45,https://www.gallito.com.uy/refor-vende-casa-en-la-teja-inmuebles-21719196
2 Dormitorios en Cerrito,U$S 85.000,,https://www.gallito.com.uy/casa-en-venta-2-dormitorios-1-baã±o-azotea-av-gral-inmuebles-22174304
3 Dormitorios en Jacinto Vera,U$S 85.000,73,https://www.gallito.com.uy/oportunidad-casa-3dorm-a-reciclar-jacinto-vera-inmuebles-21123339
2 Dormitorios en Villa Española,U$S 85.000,80,https://www.gallito.com.uy/casa-en-venta-inmuebles-22060285
3 Dormitorios en Belvedere,U$S 85.000,70,https://www.gallito.com.uy/venta-casa-3-dormitorios-belvedere-inmuebles-21836989
1 Ambiente en Carrasco Norte,U$S 85.000,30,https://www.gallito.com.uy/casa-en-la-cruz-de-carrasco-norte-1-ambiente-gran-terreno-inmuebles-20029689
Más de 4 dormitorios en Piedras Blancas,U$S 85.000,112,https://www.gallito.com.uy/venta-casa-de-4-dormitorios-en-piedras-blancas-amplio-te-inmuebles-22152350
2 Dormitorios en Nuevo Paris,U$S 85.000,534,https://www.gallito.com.uy/refor-vende-casa-en-nuevo-paris-inmuebles-17110788
