desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine,valor_metro
2 Dormitorios en Nuevo Paris,90000,110.0,https://www.gallito.com.uy/linda-con-fondo-y-garaje-inmuebles-17520813,-34.84393,-56.23116,2 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0,818.1818181818181
3 Dormitorios en Union,92000,105.0,https://www.gallito.com.uy/casa-union-inmuebles-22095235,-34.88037,-56.13906,3 Dormitorios,Union,Unión,23.0,876.1904761904761
2 Dormitorios en Cerrito,93000,68.0,https://www.gallito.com.uy/oportunidad-con-financiacion-toda-a-nuevo-a-1-de-gral-flores-inmuebles-22019008,,,2 Dormitorios,Cerrito,Cerrito,27.0,1367.6470588235295
Más de 4 dormitorios en Cerro,95000,170.0,https://www.gallito.com.uy/casa-con-apto-al-fondo-o-barbacoa-inmuebles-21934266,-34.90721,-56.19027,Más de 4 dormitorios,Cerro,Cerro,35.0,558.8235294117648
3 Dormitorios en Nuevo Paris,95000,80.0,https://www.gallito.com.uy/casa-con-terreno-y-cochera-inmuebles-19844112,-34.84951,-56.24113,3 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0,1187.5
3 Dormitorios en Nuevo Paris,95000,80.0,https://www.gallito.com.uy/casa-con-terreno-y-cochera-inmuebles-19844113,-34.84951,-56.24113,3 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0,1187.5
2 Dormitorios en Buceo,95000,46.0,https://www.gallito.com.uy/baldovino-casa-buceo-alicia-goyena-y-neyra-inmuebles-22224667,,,2 Dormitorios,Buceo,Buceo,9.0,2065.217391304348
4 Dormitorios en Nuevo Paris,95000,160.0,https://www.gallito.com.uy/casa-4-dormitorios-y-terreno-inmuebles-19742848,-34.84844,-56.24045,4 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0,593.75
2 Dormitorios en Reducto,97000,63.0,https://www.gallito.com.uy/dueño-vende-inmuebles-21999741,-34.90721,-56.19027,2 Dormitorios,Reducto,Reducto,42.0,1539.6825396825398
2 Dormitorios en Belvedere,98000,60.0,https://www.gallito.com.uy/proxima-centro-comercial-paso-molino-inmuebles-22253333,-34.84405,-56.22179,2 Dormitorios,Belvedere,Belvedere,54.0,1633.3333333333333
