desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine
3 Dormitorios en Puerto Buceo,305000,120.0,https://www.gallito.com.uy/casa-puerto-buceo-inmuebles-21759430,-34.90011,-56.13592,3 Dormitorios,Puerto Buceo,Buceo,9.0
3 Dormitorios en La Blanqueada,307000,220.0,https://www.gallito.com.uy/casa-3-dormitorios-garage-fondo-parrillero-la-blanqueada-inmuebles-22210657,-34.87237,-56.15995,3 Dormitorios,La Blanqueada,La Blanqueada,47.0
3 Dormitorios en Jacinto Vera,310000,120.0,https://www.gallito.com.uy/venta-casa-jacinto-vera-inmuebles-20835764,-34.87114,-56.16998,3 Dormitorios,Jacinto Vera,Jacinto Vera,44.0
3 Dormitorios en Prado,310000,140.0,https://www.gallito.com.uy/casa-1-planta-3-dormit-2bañ-cochx3-barbacoa-fondo-p-unico-inmuebles-21842942,-34.85418,-56.20428,3 Dormitorios,Prado,"Prado, Nueva Savona",39.0
Más de 4 dormitorios en Prado,310000,195.0,https://www.gallito.com.uy/casablanca-hermoso-reciclaje-ideal-familia-numerosa-inmuebles-20813089,-34.8533,-56.20835,Más de 4 dormitorios,Prado,"Prado, Nueva Savona",39.0
4 Dormitorios en Pocitos,310000,156.0,https://www.gallito.com.uy/venta-casa-padron-unico-4-dorm-2-baños-pocitos-inmuebles-21684466,-34.9101,-56.14986,4 Dormitorios,Pocitos,Pocitos,8.0
3 Dormitorios en Otro,45000,61.0,https://www.gallito.com.uy/venta-de-apartamento-con-3-dormitorios-en-piedras-blancas-inmuebles-22225314,,,3 Dormitorios,Otro,,
1 Ambiente en Peñarol,45000,,https://www.gallito.com.uy/vendo-terreno-con-mejoras-inmuebles-22249171,,,1 Ambiente,Peñarol,"Peñarol, Lavalleja",34.0
1 Dormitorio en Lezica,45000,,https://www.gallito.com.uy/tipo-casita-al-fdo-camplio-terreno-inmuebles-18734888,,,1 Dormitorio,Lezica,"Lezica, Melilla",60.0
1 Dormitorio en Jacinto Vera,45000,40.0,https://www.gallito.com.uy/casa-1-dorm-1-baño-entrepiso-inmuebles-22023795,-34.87454,-56.18366,1 Dormitorio,Jacinto Vera,Jacinto Vera,44.0
4 Dormitorios en Villa Española,45000,97.0,https://www.gallito.com.uy/ideal-inversion-con-renta-proximo-antel-arena-inmuebles-20427112,-34.85963,-56.15625,4 Dormitorios,Villa Española,Villa Española,24.0
2 Dormitorios en Punta Rieles,45000,600.0,https://www.gallito.com.uy/casas-en-punta-rieles-en-el-mismo-padron-cod-306-inmuebles-21993407,-34.83066,-56.07376,2 Dormitorios,Punta Rieles,"Punta Rieles, Bella Italia",20.0
2 Dormitorios en Colon,45000,70.0,https://www.gallito.com.uy/casa-en-venta-a-media-cuadra-de-av-garzon-inmuebles-20418602,-34.81579,-56.22227,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0
1 Dormitorio en Cerrito,45000,41.0,https://www.gallito.com.uy/casa-sobre-estanislao-vega-prox-av-burgues-inmuebles-16860179,-34.84887,-56.17514,1 Dormitorio,Cerrito,Cerrito,27.0
2 Dormitorios en Prado,46500,45.0,https://www.gallito.com.uy/casas-venta-montevideo-prado-inmuebles-22277460,,,2 Dormitorios,Prado,"Prado, Nueva Savona",39.0
1 Dormitorio en Capurro,47642,38.0,https://www.gallito.com.uy/venta-casa-tipo-duplex-de-1-dormitorio-en-capurro-inmuebles-21178019,-34.86706,-56.21264,1 Dormitorio,Capurro,"Capurro, Bella Vista",40.0
2 Dormitorios en Cerrito,48000,65.0,https://www.gallito.com.uy/al-frente-con-cochera-1-o-2-autos-inmuebles-22284057,-34.84452,-56.15524,2 Dormitorios,Cerrito,Cerrito,27.0
2 Dormitorios en Cno. Maldonado,48000,,https://www.gallito.com.uy/calle-orion-ruta-8-km-21-inmuebles-21862280,,,2 Dormitorios,Cno. Maldonado,Colón Centro y Noroeste,59.0
4 Dormitorios en Bella Vista,48000,160.0,https://www.gallito.com.uy/dos-propiedades-al-precio-de-una-super-oportunidadbel-inmuebles-22211277,-34.82633,-56.11618,4 Dormitorios,Bella Vista,,
1 Dormitorio en Buceo,48000,42.0,https://www.gallito.com.uy/para-inversion-o-vivienda-venta-1-dormitorio-jardin-y-inmuebles-21261995,-34.88541,-56.12323,1 Dormitorio,Buceo,Buceo,9.0
2 Dormitorios en Maroñas,48000,54.0,https://www.gallito.com.uy/casa-2-dorm-en-calle-areguati-y-puntas-de-soto-inmuebles-15916421,-34.8536,-56.12281,2 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0
2 Dormitorios en Maroñas,48000,50.0,https://www.gallito.com.uy/vendo-apartamento-de-2-dormitorios-y-patio-maroñas-inmuebles-21999017,-34.8636,-56.12245,2 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0
2 Dormitorios en Aires Puros,48000,,https://www.gallito.com.uy/vendo-casa-a-terminar-o-terminada-inmuebles-21506902,,,2 Dormitorios,Aires Puros,Aires Puros,29.0
2 Dormitorios en Las Acacias,48000,160.0,https://www.gallito.com.uy/casa-en-venta-ideal-renta-las-acacias-inmuebles-18714095,,,2 Dormitorios,Las Acacias,Las Acacias,28.0
2 Dormitorios en La Teja,48000,65.0,https://www.gallito.com.uy/oportunidad-casa-mas-apartamento-inmuebles-21873912,-34.85495,-56.24088,2 Dormitorios,La Teja,La Teja,38.0
2 Dormitorios en La Teja,48000,32.0,https://www.gallito.com.uy/terreno-mas-casa-a-reciclar-en-la-teja-inmuebles-20655493,-34.86233,-56.23794,2 Dormitorios,La Teja,La Teja,38.0
2 Dormitorios en Colon,49000,50.0,https://www.gallito.com.uy/casa-tipo-duplex-en-venta-en-colon-inmuebles-14543267,-34.8129,-56.22515,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0
3 Dormitorios en Casabo,49000,53.0,https://www.gallito.com.uy/casa-en-casabo-3-dormitorios-parada-de-bus-en-la-esquin-inmuebles-21240088,-34.88703,-56.27425,3 Dormitorios,Casabo,"Casabó, Pajas Blancas",36.0
3 Dormitorios en Lezica,49500,73.0,https://www.gallito.com.uy/venta-casa-en-lezica-inmuebles-21998229,-34.80668,-56.2526,3 Dormitorios,Lezica,"Lezica, Melilla",60.0
2 Dormitorios en Manga,50000,60.0,https://www.gallito.com.uy/bernardo-berro-y-estrella-polar-inmuebles-17028538,-34.78732,-56.13053,2 Dormitorios,Manga,Manga,62.0
3 Dormitorios en Cerro,50000,,https://www.gallito.com.uy/venta-casa-cerro-montevideo-imasuy-a-inmuebles-22101954,-34.88467,-56.26222,3 Dormitorios,Cerro,Cerro,35.0
2 Dormitorios en Maroñas,50000,,https://www.gallito.com.uy/marcos-salcedo-casi-manuel-acuña-flor-de-maroñas-inmuebles-21477246,,,2 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0
1 Dormitorio en Manga,50000,42.0,https://www.gallito.com.uy/excelente-casa-con-jadrin-y-parrillero-acepta-bco-inmuebles-20040532,-34.81678,-56.14388,1 Dormitorio,Manga,Manga,62.0
