desc,valor,metraje,url
2 Dormitorios en Aguada,U$S 140.000,78,https://www.gallito.com.uy/oportunidad-lima-y-minas-ph-independiente-con-cochera-inmuebles-21002692
2 Dormitorios en Prado,U$S 140.000,80,https://www.gallito.com.uy/casa-en-islas-canarias-en-ph-al-frente-2-dormitorios-inmuebles-19639541
3 Dormitorios en Sayago,U$S 145.000,160,https://www.gallito.com.uy/casa-con-fondo-amplio-y-apartamento-independiente-a-la-calle-inmuebles-20735788
3 Dormitorios en La Comercial,U$S 145.000,,https://www.gallito.com.uy/casa-venta-la-comercial-montevideo-imasuy-s-inmuebles-20741536
2 Dormitorios en Reducto,U$S 145.000,110,https://www.gallito.com.uy/se-vende-casa-en-excelente-zona-2-dormitorios-inmuebles-20840998
1 Dormitorio en Malvin,U$S 145.000,65,https://www.gallito.com.uy/hermosa-al-frente-en-la-mejor-ubicacion-inmuebles-18862751
2 Dormitorios en Parque Batlle,U$S 145.000,68,https://www.gallito.com.uy/vendo-casa-con-renta-en-parque-batlle-inmuebles-20931574
Más de 4 dormitorios en Jacinto Vera,U$S 146.000,133,https://www.gallito.com.uy/vendo-casa-ph-tomo-apartamento-solo-en-montevideo-inmuebles-20788673
2 Dormitorios en Buceo,U$S 148.000,60,https://www.gallito.com.uy/casa-2-dormitorios-buceo-inmuebles-20930577
2 Dormitorios en Malvin,U$S 148.000,60,https://www.gallito.com.uy/excelente-planta-alta-luminosa-terraza-inmuebles-20363768
2 Dormitorios en Barrio Sur,U$S 149.000,80,https://www.gallito.com.uy/venta-casa-barrio-sur-dos-dormitorios-azotea-barbacoa-amplia-inmuebles-20746241
2 Dormitorios en Palermo,U$S 149.000,80,https://www.gallito.com.uy/venta-casa-palermo-dos-dormitorios-azotea-barbacoa-amplia-inmuebles-20741813
3 Dormitorios en Reducto,U$S 150.000,84,https://www.gallito.com.uy/casablanca-ph-al-frente-super-luminosa-inmuebles-20651645
2 Dormitorios en Aguada,U$S 150.000,90,https://www.gallito.com.uy/casa-de-altos-2-dormitorios-y-demas-90-metros-consulte-inmuebles-21042983
3 Dormitorios en Jacinto Vera,U$S 150.000,108,https://www.gallito.com.uy/casa-de-altos-toda-exterior-con-patio-y-azotea-inmuebles-18938486
3 Dormitorios en La Blanqueada,U$S 150.000,108,https://www.gallito.com.uy/proxima-al-canal-5-y-el-comando-casa-de-altos-inmuebles-19276657
3 Dormitorios en Otro,U$S 154.000,151,https://www.gallito.com.uy/venta-casa-3-dormitorios-con-garaje-y-fondo-inmuebles-21007949
2 Dormitorios en Buceo,U$S 155.000,99,https://www.gallito.com.uy/casa-venta-buceo-pu-si-banco-jardin-garage-inmuebles-20933011
2 Dormitorios en Malvin,U$S 155.000,58,https://www.gallito.com.uy/casatroja-venta-casa-en-malvin-inmuebles-19488576
2 Dormitorios en La Blanqueada,U$S 155.000,65,https://www.gallito.com.uy/casas-muy-luminosas-con-cochera-y-patio-inmuebles-20923836
2 Dormitorios en Malvin,U$S 155.000,58,https://www.gallito.com.uy/casatroja-venta-casa-en-malvin-inmuebles-15580314
2 Dormitorios en Prado,U$S 159.000,,https://www.gallito.com.uy/sobre-benavidez-casita-al-frente-en-ph-2-dormitorios-inmuebles-20848596
1 Dormitorio en Punta Carretas,U$S 160.000,52,https://www.gallito.com.uy/casatroja-venta-casa-duplex-a-estrenar-en-punta-carretas-inmuebles-19618549
3 Dormitorios en Carrasco,U$S 160.000,72,https://www.gallito.com.uy/duplex-de-3-dormitorios-en-carrasco-inmuebles-20142827
3 Dormitorios en Punta Gorda,U$S 160.000,72,https://www.gallito.com.uy/duplex-de-3-dormitorios-en-carrasco-inmuebles-20142828
Más de 4 dormitorios en Reducto,U$S 160.000,,https://www.gallito.com.uy/casa-venta-reducto-montevideo-imasuy-s-inmuebles-21036851
2 Dormitorios en Reducto,U$S 162.000,73,https://www.gallito.com.uy/casatroja-venta-de-casa-en-brazo-oriental-inmuebles-14770613
2 Dormitorios en Brazo Oriental,U$S 162.000,98,https://www.gallito.com.uy/casatroja-neg-inmobiliaria-venta-casa-en-fomento-inmuebles-13777448
2 Dormitorios en Malvin,U$S 165.000,63,https://www.gallito.com.uy/venta-casa-2-dormitorios-malvin-duplex-con-cochera-inmuebles-20905691
3 Dormitorios en Reducto,U$S 165.000,155,https://www.gallito.com.uy/casablanca-excelente-construccion-super-luminosa-inmuebles-20594000
2 Dormitorios en Buceo,U$S 165.000,50,https://www.gallito.com.uy/casa-de-altos-en-nuevo-malvin-inmuebles-21105819
2 Dormitorios en Atahualpa,U$S 168.000,72,https://www.gallito.com.uy/se-vende-ph-bajo-casa-atahualpa-2-dormitorios-jardin-garage-inmuebles-21007991
3 Dormitorios en Pocitos,U$S 169.000,,https://www.gallito.com.uy/se-vende-casa-en-pocitos-de-3-dormitorios-inmuebles-20848347
2 Dormitorios en Pocitos,U$S 169.000,65,https://www.gallito.com.uy/casa-venta-pocitos-montevideo-imasuy-lc-inmuebles-20905658
Más de 4 dormitorios en Prado,U$S 170.000,200,https://www.gallito.com.uy/oportunidad-constructor-reciclaje-8-unids-veala-094082543-inmuebles-17612881
2 Dormitorios en Prado,U$S 170.000,60,https://www.gallito.com.uy/excelente-propiedad-con-renta-sobre-lucas-obes-inmuebles-17451491
3 Dormitorios en Malvin Norte,U$S 170.000,95,https://www.gallito.com.uy/buena-casa-en-planta-alta-toda-la-planta-inmuebles-20801978
3 Dormitorios en Prado,U$S 170.000,85,https://www.gallito.com.uy/casa-en-venta-2-3-dorm-parrill-cbarb-garage-galpon-prado-inmuebles-20985446
3 Dormitorios en Malvin,U$S 173.000,64,https://www.gallito.com.uy/bajo-de-precioproxmar-y-club-pa-cochera-y-parrill-3tzas-inmuebles-20880579
3 Dormitorios en Parque Batlle,U$S 173.000,60,https://www.gallito.com.uy/divina-impec-ph-pb-3-dorm-baño-cocina-parrillero-uss-173000-inmuebles-18444016
2 Dormitorios en Parque Batlle,U$S 175.000,62,https://www.gallito.com.uy/venta-casa-parque-batlle-p-h-2-dormitorios-2-baños-inmuebles-20974556
2 Dormitorios en La Comercial,U$S 175.000,150,https://www.gallito.com.uy/casa-de-excelente-construccion-garaje-inmuebles-17100290
4 Dormitorios en Colon,U$S 175.000,204,https://www.gallito.com.uy/dueño-vende-inmuebles-20941519
