desc,valor,metraje,url,lat,lng
2 Dormitorios en Reducto,U$S 105.000,1.0,https://www.gallito.com.uy/casa-duplex-en-venta-en-reducto-cod170-inmuebles-21998198,-34.87832,-56.18958
2 Dormitorios en Sayago,U$S 105.000,100.0,https://www.gallito.com.uy/oportunidad-buen-inmueble-con-amplio-terreno-inmuebles-21520630,,
2 Dormitorios en Sayago,U$S 108.000,,https://www.gallito.com.uy/excelente-chalet-en-barrio-jardin-si-bco-veala-094082543-inmuebles-22010862,,
4 Dormitorios en Union,U$S 108.000,100.0,https://www.gallito.com.uy/ideal-2-familias-o-renta-padron-con-3-unidades-inmuebles-21885244,-34.8705,-56.13654
2 Dormitorios en Jacinto Vera,U$S 109.000,52.0,https://www.gallito.com.uy/muy-buena-oportunidad-lista-para-entrar-inmuebles-21451489,-34.87513,-56.17361
2 Dormitorios en Reducto,U$S 109.000,79.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-amplia-terraza-reducto-inmuebles-21603765,-34.87189,-56.18449
2 Dormitorios en Sayago,U$S 110.000,91.0,https://www.gallito.com.uy/sobre-avenida-garzon-buena-propiedad-al-frente-inmuebles-21293881,,
3 Dormitorios en Capurro,U$S 110.000,,https://www.gallito.com.uy/zona-capurro-oportunidad-casa-23-dormitorios-inmuebles-21569698,,
3 Dormitorios en La Teja,U$S 110.000,92.0,https://www.gallito.com.uy/casa-con-garaje-y-fondo-inmuebles-17840857,-34.85614,-56.23339
2 Dormitorios en La Blanqueada,U$S 110.000,,https://www.gallito.com.uy/casa-en-venta-con-renta-2-dormitorios-1-baã±o-patio-y-azot-inmuebles-20858640,-34.88473,-56.14265
2 Dormitorios en Buceo,U$S 110.000,60.0,https://www.gallito.com.uy/casa-de-altos-a-1-de-batlle-y-ordoñes-y-3-de-rivera-inmuebles-21506839,-34.89425,-56.12603
3 Dormitorios en Brazo Oriental,U$S 110.000,102.0,https://www.gallito.com.uy/casablanca-a-pasos-de-propios-al-sur-inmuebles-19723157,-34.8556,-56.18233
3 Dormitorios en Aguada,U$S 115.000,90.0,https://www.gallito.com.uy/casa-de-3-o-4-dormitorios-en-aguada-inmuebles-21921380,-34.89423,-56.18996
4 Dormitorios en Aguada,U$S 115.000,118.0,https://www.gallito.com.uy/casa-venta-aguada-4-dormitorios-casa-de-epoca-azotea-inmuebles-22217630,-34.88373,-56.18477
3 Dormitorios en Paso Molino,U$S 115.000,75.0,https://www.gallito.com.uy/casa-esquina-con-garaje-inmuebles-20488071,-34.85256,-56.21725
2 Dormitorios en Brazo Oriental,U$S 115.000,60.0,https://www.gallito.com.uy/dueño-vende-ph-de-altos-brazo-oriental-inmuebles-21940355,-34.90721,-56.19027
2 Dormitorios en Prado,U$S 115.000,55.0,https://www.gallito.com.uy/casablanca-ph-en-planta-alta-al-frente-inmuebles-20206127,-34.86534,-56.21139
3 Dormitorios en Villa Muñoz,U$S 115.000,110.0,https://www.gallito.com.uy/padron-unico-109-m2-excelente-estado-inmuebles-20675391,,
2 Dormitorios en La Comercial,U$S 115.000,63.0,https://www.gallito.com.uy/proxima-a-tres-cruces-sobre-martin-garcia-consulte-inmuebles-21835989,-34.88736,-56.17054
3 Dormitorios en Manga,U$S 115.000,90.0,https://www.gallito.com.uy/pu-avenida-1000-mts2terreno-2-casas-90-mts2-total-inmuebles-21628992,-34.80184,-56.13636
4 Dormitorios en Perez Castellanos,U$S 116.000,126.0,https://www.gallito.com.uy/casa-en-excelente-estado-financiada-inmuebles-18448778,,
2 Dormitorios en Sayago,U$S 118.000,86.0,https://www.gallito.com.uy/excelente-ubicacion-sobre-avenida-sayago-inmuebles-21101262,-34.83159,-56.21466
3 Dormitorios en Nuevo Paris,U$S 118.000,182.0,https://www.gallito.com.uy/casa-y-3-apartamentos-alquilados-inmuebles-21718724,-34.84288,-56.23803
